     beta           f_Joing          f_XRF           f_XTM              Error         Time
  |theta|=1, |W|=5X5X3;
  1.0000e-06      2.4979e-12       9.1817e-17      2.4978e-06        8.3651e-01     12.613297
  1.0000e-05      2.4978e-11       9.1674e-17      2.4978e-06        8.3651e-01     23.825106
  1.0000e-04      2.4978e-10       9.0409e-17      2.4978e-06        8.3651e-01     35.177857
  1.0000e-03      2.4978e-09       9.4918e-17      2.4978e-06        8.3651e-01     46.705913
  1.0000e-02      2.4978e-08       1.8546e-15      2.4978e-06        8.3651e-01     57.915682
  1.0000e-01      2.4978e-07       2.1007e-13      2.4978e-06        8.3651e-01     71.868756
  1.0000e+00      6.7583e-07       4.6133e-12      6.7582e-07        8.0270e-01     11065.821414
  |theta|=4, |W|=5X5X3;
  1.0000e+00      1.7257e-04       1.7257e-04      6.4318e-13        2.3924e-06     26242.105216
  1.0000e+00      7.8275e+02       7.8227e+02      4.8270e-01        3.3586e+00     4.655244
  1.0000e+00      7.8275e+02       7.8227e+02      4.8270e-01        3.3586e+00     21.359255
  1.0000e+00      1.5436e-17       1.5436e-17      2.5813e-22        8.6545e-10     8.441499
  1.0000e-01      1.1221e+00       1.1189e+00      3.1893e-02        4.0244e-01     7.685143
  1.0000e+00      1.1490e+00       1.1209e+00      2.8046e-02        4.0241e-01     8.126001
  1.0000e+00      2.5652e-01       2.5646e-01      6.1171e-05        4.0264e-01     5.969646
  1.0000e+00      4.8749e-03       4.1021e-28      4.8749e-03        4.2574e-01     1.430298
  1.0000e-02      4.8710e-05       3.9019e-08      4.8671e-03        4.2574e-01     1.925666
  1.0000e-02      4.8710e-05       3.9019e-08      4.8671e-03        4.2574e-01     1.878788
  1.0000e+00      4.4874e-03       3.3304e-04      4.1544e-03        4.3580e-01     4.215846
  1.0000e+00      4.5028e-03       3.3385e-04      4.1690e-03        4.2692e-01     1.650900
  1.0000e+00      4.5028e-03       3.3385e-04      4.1690e-03        4.2692e-01     1.355601
  1.0000e+00      4.5028e-03       3.3385e-04      4.1690e-03        4.2692e-01     1.107804
  1.0000e+00      4.8749e-03       1.5058e-22      4.8749e-03        4.2574e-01     0.011606
  1.0000e+00      6.9788e-16       3.1682e-16      3.8106e-16        4.9527e-07     9.832919
  1.0000e+00      6.9788e-16       3.1682e-16      3.8106e-16        4.9527e-07     9.751073
  1.0000e+00      1.0727e-17       1.0727e-17      6.1691e-22        3.4009e-10     27.334822
