
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 6: 0
====== Angle Number  2 of 6: 36
====== Angle Number  3 of 6: 72
====== Angle Number  4 of 6: 108
====== Angle Number  5 of 6: 144
====== Angle Number  6 of 6: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 16
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.010000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    7.04915740e+08    7.04915740e+08    5.35945024e-01    4.3e+08     1.0e+00      9.985e-01
   1      2      2    1.95659653e+07    1.95659653e+07     2.88512341e-02    7.7e+07     1.0e+00      7.827e-01
   2      3      6    9.58282748e+05    9.58282748e+05     1.34371541e-02    1.2e+07     1.0e+00      6.543e-01
   3      4     10    2.46098248e+05    2.46098248e+05     1.07950522e-02    2.3e+06     1.0e+00      6.307e-01
   4      5     17    9.37654718e+04    9.37654718e+04     9.52018192e-03    8.3e+05     1.0e+00      5.970e-01
   5      6     27    4.05460659e+04    4.05460658e+04     6.61699808e-03    2.6e+05     1.0e+00      5.345e-01
   6      7     37    2.15545070e+04    2.15545070e+04     4.01386998e-03    9.9e+05     1.0e+00      4.645e-01
   7      8     42    1.52103109e+04    1.52103109e+04     3.82899027e-03    2.1e+05     1.0e+00      4.551e-01
   8      9     52    6.30562575e+03    6.30562574e+03     1.38179888e-03    1.1e+06     1.0e+00      3.680e-01
   9     10     54    4.15892514e+03    4.15892512e+03     1.41175203e-03    1.8e+05     1.0e+00      3.679e-01
  10     11     64    2.42027401e+03    2.42027399e+03     1.29282649e-03    1.5e+05     1.0e+00      3.592e-01
  11     12     67    2.27250645e+03    2.27250644e+03     1.27761081e-03    1.4e+04     1.0e+00      3.584e-01
