
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== No Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> ===================== 10
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    2.31776427e+03   1.5e+02     1.0e+00      8.020e+00
   1      2      2    4.54140817e+01    6.12723498e+00     3.92868467e+01    2.4e+01     1.0e+00      7.259e+00
   2      3      5    5.26616082e+00    3.54483306e+00     1.72132776e+00    7.6e+00     1.0e+00      7.205e+00
   3      4     13    1.00007221e+00    9.11572109e-01     8.85001013e-02    1.6e+00     1.0e+00      7.091e+00
   4      5     23    4.14109537e-01    2.72879483e-01     1.41230055e-01    3.0e+00     1.0e+00      7.051e+00
   5      6     26    2.49903687e-01    2.35492453e-01     1.44112342e-02    7.4e-01     1.0e+00      7.050e+00
   6      7     36    1.04426809e-01    8.89634703e-02     1.54633390e-02    8.1e-01     1.0e+00      7.028e+00
   7      8     40    8.23556040e-02    7.95241419e-02     2.83146210e-03    2.0e-01     1.0e+00      7.028e+00
   8      9     50    5.68159120e-02    5.22576056e-02     4.55830639e-03    3.6e-01     1.0e+00      7.013e+00
   9     10     53    5.07377956e-02    4.96673530e-02     1.07044261e-03    2.3e-01     1.0e+00      7.013e+00
  10     11     63    4.57962454e-02    4.50899399e-02     7.06305513e-04    1.4e-01     1.0e+00      7.007e+00
  11     12     69    4.39243285e-02    4.36336584e-02     2.90670057e-04    6.0e-02     1.0e+00      7.005e+00
  12     13     79    3.96345841e-02    3.89662910e-02     6.68293090e-04    8.1e-02     1.0e+00      6.989e+00
  13     14     83    3.77275125e-02    3.74981581e-02     2.29354403e-04    8.2e-02     1.0e+00      6.988e+00
  14     15     93    3.57781029e-02    3.54179379e-02     3.60164917e-04    1.4e-01     1.0e+00      6.978e+00
  15     16     97    3.45776329e-02    3.44234588e-02     1.54174092e-04    5.0e-02     1.0e+00      6.977e+00
  16     17    107    3.19429208e-02    3.17722993e-02     1.70621434e-04    4.6e-02     1.0e+00      6.962e+00
  17     18    112    3.00600184e-02    2.99150244e-02     1.44994015e-04    3.0e-02     1.0e+00      6.960e+00
  18     19    122    2.87495146e-02    2.85420645e-02     2.07450143e-04    9.5e-02     1.0e+00      6.953e+00
  19     20    128    2.78764384e-02    2.77848962e-02     9.15422180e-05    6.5e-02     1.0e+00      6.952e+00
  20     21    138    2.64715480e-02    2.61379588e-02     3.33589204e-04    7.2e-02     1.0e+00      6.942e+00
  21     22    142    2.55962595e-02    2.54689435e-02     1.27316035e-04    5.3e-02     1.0e+00      6.942e+00
