
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>   it     nf     cg           f            |g|      alpha        error
   0      1      0    1.07253086e+07   5.2e+05     1.0e+00      3.024e+01
   1      2      2    6.74122995e+05   1.4e+05     1.0e+00      3.088e+01
   2      3      4    7.44954041e+04   3.7e+04     1.0e+00      3.107e+01
   3      4      6    1.91985192e+04   1.3e+04     1.0e+00      3.117e+01
   4      5      8    4.30019014e+03   8.1e+03     1.0e+00      3.146e+01
   5      6     11    2.94926556e+02   2.0e+03     1.0e+00      3.166e+01
   6      7     14    5.26336655e+01   3.3e+02     1.0e+00      3.171e+01
   7      8     19    7.83395889e+00   4.9e+01     1.0e+00      3.174e+01
   8      9     24    2.65618683e+00   1.6e+01     1.0e+00      3.175e+01
   9     10     34    1.87163807e+00   1.8e+01     1.0e+00      3.175e+01
  10     11     37    1.25819445e+00   5.1e+00     1.0e+00      3.175e+01
  11     12     47    1.00968347e+00   6.7e+00     1.0e+00      3.175e+01
  12     13     53    9.09952400e-01   1.2e+00     1.0e+00      3.175e+01
  13     14     63    8.79226328e-01   3.6e+00     1.0e+00      3.175e+01
  14     15     69    8.45239471e-01   9.3e-01     1.0e+00      3.175e+01
  15     16     79    8.34049799e-01   7.6e-01     1.0e+00      3.175e+01
  16     17     89    8.28008080e-01   4.6e-01     1.0e+00      3.175e+01
  17     18     99    8.24274123e-01   2.8e-01     1.0e+00      3.175e+01
  18     19    109    8.21783475e-01   6.3e-01     1.0e+00      3.175e+01
  19     20    119    8.19753098e-01   2.0e-01     1.0e+00      3.175e+01
  20     21    129    8.18628722e-01   2.7e-01     1.0e+00      3.175e+01
  21     22    139    8.17848631e-01   1.4e-01     1.0e+00      3.175e+01
  22     23    149    8.17283337e-01   2.2e-01     1.0e+00      3.175e+01
  23     24    158    8.16874723e-01   8.7e-02     1.0e+00      3.175e+01
  24     25    168    8.16402932e-01   4.4e-01     1.0e+00      3.175e+01
  25     26    170    8.16241878e-01   9.0e-02     1.0e+00      3.175e+01
  26     27    180    8.16003900e-01   1.9e-01     1.0e+00      3.175e+01
  27     28    182    8.15943564e-01   4.5e-02     1.0e+00      3.175e+01
  28     29    192    8.15774872e-01   9.8e-02     1.0e+00      3.175e+01
  29     30    195    8.15718600e-01   3.6e-02     1.0e+00      3.175e+01
  30     31    202    8.15656772e-01   3.0e-02     1.0e+00      3.175e+01
  31     32    212    8.15556650e-01   5.1e-02     1.0e+00      3.175e+01
  32     33    220    8.15490692e-01   4.2e-02     1.0e+00      3.175e+01
  33     34    230    8.15412867e-01   5.1e-02     1.0e+00      3.175e+01
  34     35    237    8.15368646e-01   2.2e-02     1.0e+00      3.175e+01
  35     36    247    8.15323213e-01   5.1e-02     1.0e+00      3.175e+01
  36     37    253    8.15304754e-01   1.8e-02     1.0e+00      3.175e+01
  37     38    263    8.15299478e-01   2.0e-02     1.0e+00      3.175e+01
  38     39    270    8.15296334e-01   7.6e-03     1.0e+00      3.175e+01
  39     40    280    8.15292047e-01   1.2e-02     1.0e+00      3.175e+01
  40     41    286    8.15289945e-01   5.4e-03     1.0e+00      3.175e+01
  41     42    296    8.15288816e-01   4.2e-03     1.0e+00      3.175e+01
  42     43    302    8.15288222e-01   3.3e-03     1.0e+00      3.175e+01
  43     44    312    8.15287801e-01   5.3e-03     1.0e+00      3.175e+01
  44     45    318    8.15287584e-01   2.3e-03     1.0e+00      3.175e+01
  45     46    328    8.15287458e-01   2.8e-03     1.0e+00      3.175e+01
  46     47    335    8.15287387e-01   1.5e-03     1.0e+00      3.175e+01
  47     48    345    8.15287294e-01   3.6e-03     1.0e+00      3.175e+01
  48     49    349    8.15287253e-01   9.1e-04     1.0e+00      3.175e+01
  49     50    359    8.15287230e-01   1.1e-03     1.0e+00      3.175e+01
  50     51    361    8.15287227e-01   4.8e-04     1.0e+00      3.175e+01
  51     52    366    8.15287219e-01   5.1e-04     1.0e+00      3.175e+01
  52     53    376    8.15287197e-01   1.8e-03     1.0e+00      3.175e+01
  53     54    378    8.15287190e-01   4.4e-04     1.0e+00      3.175e+01
  54     55    383    8.15287184e-01   3.0e-04     1.0e+00      3.175e+01
  55     56    393    8.15287173e-01   7.8e-04     1.0e+00      3.175e+01
  56     57    399    8.15287168e-01   3.2e-04     1.0e+00      3.175e+01
  57     58    409    8.15287165e-01   1.8e-04     1.0e+00      3.175e+01
  58     59    418    8.15287163e-01   1.8e-04     1.0e+00      3.175e+01
  59     60    428    8.15287161e-01   5.2e-04     1.0e+00      3.175e+01
  60     61    433    8.15287161e-01   1.4e-04     1.0e+00      3.175e+01
  61     62    443    8.15287159e-01   2.8e-04     1.0e+00      3.175e+01
  62     63    449    8.15287158e-01   1.1e-04     1.0e+00      3.175e+01
  63     64    459    8.15287158e-01   1.3e-04     1.0e+00      3.175e+01
  64     65    467    8.15287157e-01   1.1e-04     1.0e+00      3.175e+01
  65     66    477    8.15287157e-01   3.4e-04     1.0e+00      3.175e+01
  66     67    481    8.15287157e-01   4.8e-05     1.0e+00      3.175e+01
  67     68    491    8.15287156e-01   7.2e-05     1.0e+00      3.175e+01
  68     69    497    8.15287156e-01   4.7e-05     1.0e+00      3.175e+01
  69     70    507    8.15287156e-01   8.0e-05     1.0e+00      3.175e+01
  70     71    512    8.15287156e-01   1.9e-05     1.0e+00      3.175e+01
  71     72    522    8.15287156e-01   3.1e-05     1.0e+00      3.175e+01
  72     73    532    8.15287156e-01   1.8e-05     1.0e+00      3.175e+01
  73     74    542    8.15287156e-01   2.2e-05     1.0e+00      3.175e+01
  74     75    552    8.15287156e-01   1.3e-05     1.0e+00      3.175e+01
  75     76    562    8.15287156e-01   1.6e-05     1.0e+00      3.175e+01
  76     77    572    8.15287156e-01   1.1e-05     1.0e+00      3.175e+01
  77     78    582    8.15287156e-01   1.2e-05     1.0e+00      3.175e+01
  78     79    592    8.15287156e-01   9.9e-06     1.0e+00      3.175e+01
  79     80    602    8.15287156e-01   9.7e-06     1.0e+00      3.175e+01
  80     81    612    8.15287156e-01   8.1e-06     1.0e+00      3.175e+01
  81     82    622    8.15287156e-01   7.7e-06     1.0e+00      3.175e+01
  82     83    632    8.15287156e-01   6.6e-06     1.0e+00      3.175e+01
  83     84    642    8.15287156e-01   6.2e-06     1.0e+00      3.175e+01
  84     85    652    8.15287156e-01   5.4e-06     1.0e+00      3.175e+01
  85     86    662    8.15287156e-01   5.0e-06     1.0e+00      3.175e+01
  86     87    672    8.15287156e-01   4.4e-06     1.0e+00      3.175e+01
  87     88    682    8.15287156e-01   4.0e-06     1.0e+00      3.175e+01
  88     89    692    8.15287156e-01   3.6e-06     1.0e+00      3.175e+01
  89     90    702    8.15287156e-01   3.2e-06     1.0e+00      3.175e+01
  90     91    712    8.15287156e-01   2.9e-06     1.0e+00      3.175e+01
  91     92    722    8.15287156e-01   2.6e-06     1.0e+00      3.175e+01
  92     93    732    8.15287156e-01   2.4e-06     1.0e+00      3.175e+01
  93     94    742    8.15287156e-01   2.1e-06     1.0e+00      3.175e+01
  94     95    752    8.15287156e-01   2.0e-06     1.0e+00      3.175e+01
  95     96    762    8.15287156e-01   1.7e-06     1.0e+00      3.175e+01
  96     97    772    8.15287156e-01   1.6e-06     1.0e+00      3.175e+01
  97     98    782    8.15287156e-01   1.4e-06     1.0e+00      3.175e+01
LMQNBC: termination 5
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> 
