
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 10000000.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    2.51366930e+09    2.50288728e+09    1.07820174e+00    3.6e+08     1.0e+00      4.783e+00
   1      2      3    1.47553122e+08    1.46808801e+08     7.44320502e-02    8.4e+07     1.0e+00      4.235e+00
   2      3      6    4.18838383e+07    4.11192625e+07     7.64575858e-02    4.2e+07     1.0e+00      4.144e+00
   3      4      8    1.44282604e+07    1.33031877e+07     1.12507273e-01    2.3e+07     1.0e+00      4.097e+00
   4      5     12    4.88340788e+06    3.70667825e+06     1.17672962e-01    1.1e+07     1.0e+00      4.014e+00
   5      6     19    2.20253830e+06    1.08069931e+06     1.12183898e-01    3.2e+06     1.0e+00      3.900e+00
   6      7     29    9.26214088e+05    3.04324752e+05     6.21889336e-02    1.3e+06     1.0e+00      3.622e+00
   7      8     39    6.07400910e+05    1.87454059e+05     4.19946850e-02    8.4e+05     1.0e+00      3.458e+00
   8      9     42    5.64186585e+05    1.47502243e+05     4.16684342e-02    5.4e+05     1.0e+00      3.452e+00
   9     10     52    3.91530640e+05    1.09663705e+05     2.81866936e-02    7.5e+05     1.0e+00      3.270e+00
  10     11     56    3.57289046e+05    7.90247397e+04     2.78264306e-02    5.4e+05     1.0e+00      3.260e+00
  11     12     66    3.09532210e+05    6.91414878e+04     2.40390722e-02    4.3e+05     1.0e+00      3.164e+00
  12     13     76    2.76109701e+05    5.39677484e+04     2.22141952e-02    2.9e+05     1.0e+00      3.103e+00
  13     14     86    2.49938061e+05    4.94525466e+04     2.00485514e-02    3.4e+05     1.0e+00      3.029e+00
  14     15     96    2.28309570e+05    4.06627827e+04     1.87646788e-02    2.6e+05     1.0e+00      2.979e+00
  15     16    106    2.09886222e+05    3.82198385e+04     1.71666384e-02    2.9e+05     1.0e+00      2.917e+00
  16     17    116    1.93924160e+05    3.24020733e+04     1.61522087e-02    2.6e+05     1.0e+00      2.872e+00
  17     18    126    1.79998234e+05    3.09364925e+04     1.49061741e-02    2.5e+05     1.0e+00      2.820e+00
  18     19    136    1.67808038e+05    2.68469823e+04     1.40961056e-02    1.6e+05     1.0e+00      2.781e+00
  19     20    146    1.54472002e+05    2.68413141e+04     1.27630688e-02    4.0e+05     1.0e+00      2.718e+00
  20     21    156    1.42809048e+05    2.23119758e+04     1.20497072e-02    2.8e+05     1.0e+00      2.682e+00
  21     22    166    1.33398135e+05    2.18014702e+04     1.11596665e-02    2.4e+05     1.0e+00      2.637e+00
  22     23    176    1.24952648e+05    1.91106827e+04     1.05841966e-02    1.7e+05     1.0e+00      2.607e+00
  23     24    186    1.17352666e+05    1.88930756e+04     9.84595900e-03    2.6e+05     1.0e+00      2.568e+00
  24     25    196    1.10378407e+05    1.67225008e+04     9.36559060e-03    1.8e+05     1.0e+00      2.541e+00
  25     26    206    1.03990386e+05    1.65515826e+04     8.74388037e-03    2.4e+05     1.0e+00      2.507e+00
  26     27    216    9.81869671e+04    1.48002918e+04     8.33866753e-03    1.6e+05     1.0e+00      2.483e+00
  27     28    226    9.28952235e+04    1.47042317e+04     7.81909918e-03    2.3e+05     1.0e+00      2.453e+00
  28     29    231    9.04146378e+04    1.30232534e+04     7.73913844e-03    1.6e+05     1.0e+00      2.448e+00
  29     30    241    7.56324988e+04    2.10278735e+04     5.46046253e-03    6.8e+05     1.0e+00      2.312e+00
  30     31    247    6.36625888e+04    9.66544225e+03     5.39971465e-03    1.2e+05     1.0e+00      2.307e+00
  31     32    257    5.48999099e+04    1.40734212e+04     4.08264886e-03    5.2e+05     1.0e+00      2.217e+00
  32     33    264    4.81208128e+04    7.78663511e+03     4.03341777e-03    6.6e+04     1.0e+00      2.213e+00
  33     34    274    4.50975698e+04    8.58283617e+03     3.65147336e-03    1.3e+05     1.0e+00      2.189e+00
  34     35    284    4.26302729e+04    7.21763728e+03     3.54126356e-03    8.6e+04     1.0e+00      2.179e+00
  35     36    294    4.08893665e+04    7.39050424e+03     3.34988622e-03    1.1e+05     1.0e+00      2.166e+00
  36     37    304    3.92721884e+04    6.82625842e+03     3.24459300e-03    1.0e+05     1.0e+00      2.158e+00
  37     38    314    3.78492159e+04    6.91781318e+03     3.09314027e-03    6.6e+04     1.0e+00      2.148e+00
  38     39    324    3.65326442e+04    6.51814762e+03     3.00144966e-03    9.8e+04     1.0e+00      2.141e+00
  39     40    334    3.53294008e+04    6.58998690e+03     2.87394139e-03    6.0e+04     1.0e+00      2.132e+00
  40     41    344    3.41476630e+04    6.29827276e+03     2.78493903e-03    1.0e+05     1.0e+00      2.125e+00
  41     42    347    3.38921998e+04    6.10976873e+03     2.77824311e-03    7.8e+04     1.0e+00      2.125e+00
  42     43    357    2.95535919e+04    8.83868162e+03     2.07149103e-03    2.6e+05     1.0e+00      2.077e+00
  43     44    361    2.68232814e+04    6.11267836e+03     2.07106031e-03    7.1e+04     1.0e+00      2.076e+00
  44     45    369    2.57460386e+04    5.28218375e+03     2.04638549e-03    1.6e+04     1.0e+00      2.074e+00
  45     46    379    2.42098187e+04    6.08547028e+03     1.81243485e-03    1.3e+05     1.0e+00      2.056e+00
  46     47    381    2.36193794e+04    5.48912888e+03     1.81302505e-03    7.7e+04     1.0e+00      2.056e+00
  47     48    388    2.28772968e+04    4.88971996e+03     1.79875768e-03    4.4e+04     1.0e+00      2.055e+00
  48     49    398    2.15907298e+04    5.73105667e+03     1.58596731e-03    5.5e+04     1.0e+00      2.044e+00
  49     50    403    2.06366596e+04    4.82012294e+03     1.58165366e-03    6.2e+04     1.0e+00      2.043e+00
  50     51    408    2.04849171e+04    4.71893364e+03     1.57659835e-03    3.4e+04     1.0e+00      2.043e+00
  51     52    418    1.97269406e+04    4.95143357e+03     1.47755071e-03    5.2e+04     1.0e+00      2.037e+00
  52     53    425    1.92311507e+04    4.59190442e+03     1.46392462e-03    4.0e+04     1.0e+00      2.036e+00
  53     54    435    1.87844709e+04    4.66900755e+03     1.41154634e-03    6.6e+04     1.0e+00      2.033e+00
  54     55    445    1.84282595e+04    4.48989056e+03     1.39383690e-03    3.1e+04     1.0e+00      2.032e+00
  55     56    455    1.81454206e+04    4.53017749e+03     1.36152431e-03    3.7e+04     1.0e+00      2.031e+00
  56     57    459    1.80175583e+04    4.42037490e+03     1.35971834e-03    3.6e+04     1.0e+00      2.031e+00
  57     58    469    1.76642237e+04    4.57341647e+03     1.30908073e-03    5.1e+04     1.0e+00      2.029e+00
  58     59    476    1.73676158e+04    4.34668034e+03     1.30209354e-03    2.3e+04     1.0e+00      2.028e+00
  59     60    486    1.66845678e+04    4.77443615e+03     1.19101316e-03    4.3e+04     1.0e+00      2.025e+00
  60     61    492    1.61286812e+04    4.25657675e+03     1.18721045e-03    2.7e+04     1.0e+00      2.025e+00
  61     62    496    1.60753353e+04    4.21103651e+03     1.18642987e-03    2.2e+04     1.0e+00      2.025e+00
  62     63    506    1.54063017e+04    4.63858291e+03     1.07677188e-03    5.9e+04     1.0e+00      2.023e+00
  63     64    514    1.48115531e+04    4.09363120e+03     1.07179219e-03    2.1e+04     1.0e+00      2.023e+00
  64     65    524    1.45050605e+04    4.21788538e+03     1.02871751e-03    3.7e+04     1.0e+00      2.023e+00
  65     66    533    1.42570646e+04    4.02629387e+03     1.02307707e-03    1.6e+04     1.0e+00      2.023e+00
