
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 6
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    4.65845180e+08    4.65845180e+08    2.18335796e-01    1.9e+09     1.0e+00      4.976e-01
   1      2      2    6.70972486e+06    6.70972486e+06     5.95638311e-03    1.9e+08     1.0e+00      4.406e-01
   2      3      5    4.90955796e+05    4.90955796e+05     4.36463830e-03    1.2e+07     1.0e+00      4.222e-01
   3      4      9    3.59599307e+04    3.59599307e+04     4.48615625e-03    7.3e+05     1.0e+00      4.110e-01
   4      5     15    1.64889032e+03    1.64889032e+03     5.39550523e-03    2.0e+05     1.0e+00      3.930e-01
   5      6     19    3.64327011e+02    3.64327011e+02     5.45164093e-03    3.2e+04     1.0e+00      3.926e-01
   6      7     23    2.04926712e+02    2.04926712e+02     5.50877809e-03    2.8e+04     1.0e+00      3.922e-01
   7      8     31    1.11475889e+02    1.11475889e+02     5.54431902e-03    8.3e+03     1.0e+00      3.917e-01
   8      9     33    1.06994406e+02    1.06994406e+02     5.54093410e-03    1.5e+04     1.0e+00      3.917e-01
   9     10     43    5.08500670e+01    5.08500670e+01     5.49154028e-03    8.4e+03     1.0e+00      3.913e-01
  10     11     46    4.61468454e+01    4.61468454e+01     5.49446013e-03    5.0e+03     1.0e+00      3.913e-01
  11     12     50    4.49098004e+01    4.49098004e+01     5.49564479e-03    3.3e+03     1.0e+00      3.913e-01
  12     13     57    4.17334477e+01    4.17334477e+01     5.50039491e-03    2.0e+03     1.0e+00      3.911e-01
  13     14     61    4.06954446e+01    4.06954446e+01     5.49807504e-03    1.6e+03     1.0e+00      3.911e-01
  14     15     71    3.71585281e+01    3.71585281e+01     5.48959842e-03    3.8e+03     1.0e+00      3.902e-01
  15     16     79    3.46160420e+01    3.46160420e+01     5.48781512e-03    1.5e+03     1.0e+00      3.897e-01
  16     17     89    3.29614468e+01    3.29614468e+01     5.48472173e-03    1.7e+03     1.0e+00      3.891e-01
  17     18     92    3.27245365e+01    3.27245365e+01     5.48182956e-03    1.5e+03     1.0e+00      3.891e-01
  18     19    101    3.17155539e+01    3.17155539e+01     5.47612467e-03    1.5e+03     1.0e+00      3.887e-01
  19     20    103    3.16595198e+01    3.16595198e+01     5.47604783e-03    1.8e+03     1.0e+00      3.887e-01
  20     21    108    3.12411930e+01    3.12411930e+01     5.47437523e-03    1.1e+03     1.0e+00      3.886e-01
  21     22    114    3.10966281e+01    3.10966281e+01     5.47615639e-03    1.4e+03     1.0e+00      3.886e-01
  22     23    124    2.87748777e+01    2.87748777e+01     5.44193010e-03    1.1e+04     1.0e+00      3.866e-01
  23     24    126    2.82818614e+01    2.82818614e+01     5.44286759e-03    1.6e+03     1.0e+00      3.866e-01
