
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 100000000.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    1.12749597e+09    3.74393554e+07    1.09005661e+01    6.5e+07     1.0e+00      2.570e+00
   1      2      2    2.03209995e+07    8.65335569e+06     1.16676438e-01    7.1e+06     1.0e+00      1.720e+00
   2      3      5    3.82537912e+06    2.04436832e+06     1.78101080e-02    6.0e+06     1.0e+00      1.585e+00
   3      4     10    8.27698713e+05    4.62911315e+05     3.64787398e-03    1.8e+06     1.0e+00      1.488e+00
   4      5     18    2.67910436e+05    1.42716851e+05     1.25193585e-03    1.1e+06     1.0e+00      1.419e+00
   5      6     28    1.09702847e+05    6.14727741e+04     4.82300724e-04    3.8e+05     1.0e+00      1.361e+00
   6      7     34    7.11309914e+04    4.88067015e+04     2.23242899e-04    1.9e+05     1.0e+00      1.354e+00
   7      8     44    3.30460554e+04    2.34477538e+04     9.59830162e-05    1.3e+05     1.0e+00      1.306e+00
   8      9     52    2.34678625e+04    1.82682841e+04     5.19957835e-05    9.3e+04     1.0e+00      1.301e+00
   9     10     62    1.67739985e+04    1.30580071e+04     3.71599141e-05    1.2e+05     1.0e+00      1.280e+00
  10     11     66    1.44855793e+04    1.16730337e+04     2.81254554e-05    7.1e+04     1.0e+00      1.278e+00
  11     12     76    1.19435834e+04    9.45047186e+03     2.49311153e-05    7.4e+04     1.0e+00      1.268e+00
  12     13     86    1.02684314e+04    8.36550164e+03     1.90292978e-05    2.7e+04     1.0e+00      1.264e+00
  13     14     96    9.08261549e+03    7.30730239e+03     1.77531310e-05    5.9e+04     1.0e+00      1.257e+00
  14     15    106    8.14217937e+03    6.64998729e+03     1.49219208e-05    2.7e+04     1.0e+00      1.254e+00
  15     16    116    7.37783022e+03    5.97808479e+03     1.39974543e-05    5.0e+04     1.0e+00      1.249e+00
  16     17    126    6.74084238e+03    5.51823305e+03     1.22260933e-05    2.5e+04     1.0e+00      1.246e+00
  17     18    136    6.20503225e+03    5.04674171e+03     1.15829055e-05    4.4e+04     1.0e+00      1.242e+00
  18     19    146    5.74853781e+03    4.71333494e+03     1.03520287e-05    2.0e+04     1.0e+00      1.239e+00
  19     20    156    5.35288038e+03    4.36526734e+03     9.87613048e-06    3.9e+04     1.0e+00      1.235e+00
  20     21    166    5.00726474e+03    4.11123728e+03     8.96027465e-06    1.7e+04     1.0e+00      1.233e+00
  21     22    176    4.70229390e+03    3.84268066e+03     8.59613244e-06    3.5e+04     1.0e+00      1.230e+00
  22     23    186    4.43152038e+03    3.64261022e+03     7.88910165e-06    1.4e+04     1.0e+00      1.228e+00
  23     24    196    4.18914208e+03    3.42940808e+03     7.59734004e-06    3.2e+04     1.0e+00      1.225e+00
