
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 1.000000, TempBeta = 0.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    1.62469367e+00    1.95987351e+09    1.62469367e+00    2.0e-01     1.0e+00      1.973e+00
   1      2      2    9.36428548e-02    6.25155275e+07     9.36428548e-02    5.0e-02     1.0e+00      1.499e+00
   2      3      4    2.21461825e-02    3.45133414e+07     2.21461825e-02    2.2e-02     1.0e+00      1.402e+00
   3      4      8    1.61708625e-03    1.87512666e+07     1.61708625e-03    6.7e-03     1.0e+00      9.329e-01
   4      5     12    2.44824673e-04    1.25323001e+07     2.44824673e-04    1.3e-03     1.0e+00      8.482e-01
   5      6     19    5.83889570e-05    7.63830213e+06     5.83889570e-05    6.7e-04     1.0e+00      7.657e-01
   6      7     29    9.33326194e-06    5.28981516e+06     9.33326194e-06    1.2e-04     1.0e+00      7.251e-01
   7      8     34    6.15881723e-06    5.01751990e+06     6.15881723e-06    6.4e-05     1.0e+00      7.224e-01
   8      9     42    2.43891775e-06    4.82622578e+06     2.43891775e-06    5.1e-05     1.0e+00      7.090e-01
   9     10     49    1.53605109e-06    4.75388930e+06     1.53605109e-06    3.6e-05     1.0e+00      7.067e-01
  10     11     59    7.43496248e-07    4.69596519e+06     7.43496248e-07    2.3e-05     1.0e+00      7.008e-01
  11     12     62    6.02636009e-07    4.69460441e+06     6.02636009e-07    3.4e-05     1.0e+00      7.006e-01
  12     13     72    4.60177601e-07    4.65430148e+06     4.60177601e-07    1.7e-05     1.0e+00      6.990e-01
  13     14     82    3.79403232e-07    4.65623146e+06     3.79403232e-07    1.3e-05     1.0e+00      6.979e-01
  14     15     85    3.66564614e-07    4.65779678e+06     3.66564614e-07    1.2e-05     1.0e+00      6.979e-01
  15     16     95    2.50446550e-07    4.61365241e+06     2.50446550e-07    9.2e-06     1.0e+00      6.944e-01
  16     17     99    2.22887179e-07    4.63237787e+06     2.22887179e-07    7.0e-06     1.0e+00      6.944e-01
  17     18    109    2.00768654e-07    4.62907177e+06     2.00768654e-07    1.3e-05     1.0e+00      6.936e-01
  18     19    112    1.96824270e-07    4.62879400e+06     1.96824270e-07    3.6e-06     1.0e+00      6.936e-01
  19     20    122    1.62981209e-07    4.61448943e+06     1.62981209e-07    1.5e-05     1.0e+00      6.909e-01
  20     21    129    1.44439240e-07    4.60913610e+06     1.44439240e-07    2.4e-06     1.0e+00      6.907e-01
  21     22    139    1.32444083e-07    4.60008821e+06     1.32444083e-07    1.4e-05     1.0e+00      6.895e-01
  22     23    141    1.28780205e-07    4.60006651e+06     1.28780205e-07    2.7e-06     1.0e+00      6.895e-01
  23     24    147    1.23464552e-07    4.59961205e+06     1.23464552e-07    2.4e-06     1.0e+00      6.893e-01
  24     25    157    1.11045041e-07    4.59420442e+06     1.11045041e-07    1.1e-05     1.0e+00      6.877e-01
  25     26    162    1.02634150e-07    4.59312520e+06     1.02634150e-07    1.9e-06     1.0e+00      6.876e-01
  26     27    172    9.74008527e-08    4.58471480e+06     9.74008527e-08    2.9e-06     1.0e+00      6.870e-01
  27     28    182    9.30436520e-08    4.58670480e+06     9.30436520e-08    2.4e-06     1.0e+00      6.868e-01
  28     29    192    8.91630545e-08    4.58017638e+06     8.91630545e-08    2.9e-06     1.0e+00      6.864e-01
  29     30    197    8.70316316e-08    4.57796461e+06     8.70316316e-08    2.8e-06     1.0e+00      6.863e-01
  30     31    207    8.22993050e-08    4.57826943e+06     8.22993050e-08    5.7e-06     1.0e+00      6.856e-01
  31     32    214    7.85980170e-08    4.57603638e+06     7.85980170e-08    1.6e-06     1.0e+00      6.855e-01
  32     33    224    7.34449587e-08    4.57339725e+06     7.34449587e-08    6.2e-06     1.0e+00      6.847e-01
  33     34    228    6.98305203e-08    4.56832582e+06     6.98305203e-08    1.5e-06     1.0e+00      6.847e-01
  34     35    238    6.75927248e-08    4.56496069e+06     6.75927248e-08    3.7e-06     1.0e+00      6.844e-01
  35     36    240    6.71303323e-08    4.56572080e+06     6.71303323e-08    1.6e-06     1.0e+00      6.844e-01
  36     37    250    6.45459504e-08    4.56439237e+06     6.45459504e-08    4.4e-06     1.0e+00      6.840e-01
  37     38    252    6.39295193e-08    4.56476312e+06     6.39295193e-08    1.7e-06     1.0e+00      6.840e-01
  38     39    262    6.19105804e-08    4.56048183e+06     6.19105804e-08    3.1e-06     1.0e+00      6.838e-01
  39     40    265    6.14039908e-08    4.56143215e+06     6.14039908e-08    1.8e-06     1.0e+00      6.838e-01
  40     41    275    5.37816650e-08    4.54790404e+06     5.37816650e-08    1.4e-05     1.0e+00      6.824e-01
  41     42    277    4.96175685e-08    4.54825210e+06     4.96175685e-08    1.7e-06     1.0e+00      6.824e-01
  42     43    281    4.84798057e-08    4.55126852e+06     4.84798057e-08    1.9e-06     1.0e+00      6.823e-01
  43     44    291    4.69322429e-08    4.54868970e+06     4.69322429e-08    4.3e-06     1.0e+00      6.821e-01
  44     45    294    4.64023940e-08    4.54818685e+06     4.64023940e-08    1.4e-06     1.0e+00      6.821e-01
  45     46    301    4.55815387e-08    4.54780037e+06     4.55815387e-08    1.1e-06     1.0e+00      6.820e-01
