
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 2000
====== Angle Number  1 of 8: 0
====== Angle Number  2 of 8: 2.571429e+01
====== Angle Number  3 of 8: 5.142857e+01
====== Angle Number  4 of 8: 7.714286e+01
====== Angle Number  5 of 8: 1.028571e+02
====== Angle Number  6 of 8: 1.285714e+02
====== Angle Number  7 of 8: 1.542857e+02
====== Angle Number  8 of 8: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> ============================ Attenuation Transmission Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    1.07212969e+00   1.3e-02     1.0e+00      1.273e+02
   1      2      4    3.42582953e-01   6.6e-03     1.0e+00      7.882e+01
   2      3      6    9.37327262e-02   1.9e-03     1.0e+00      7.084e+01
   3      4     11    1.87900151e-02   7.9e-04     1.0e+00      3.809e+01
   4      5     17    7.85546984e-03   3.8e-04     1.0e+00      2.806e+01
   5      6     22    6.56683572e-03   1.4e-04     1.0e+00      2.704e+01
   6      7     30    6.12460502e-03   1.2e-04     1.0e+00      2.657e+01
   7      8     33    6.02311285e-03   2.8e-05     1.0e+00      2.642e+01
   8      9     38    5.99170510e-03   2.3e-05     1.0e+00      2.655e+01
   9     11     47    5.98723925e-03   2.2e-05     1.3e-01      2.663e+01
  10     12     56    5.97589779e-03   1.7e-05     1.0e+00      2.704e+01
LMQNBC: termination 5
============================ Fluorescence Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    2.75421914e+06   5.7e+06     1.0e+00      3.202e+00
   1      2      2    3.63958978e+05   1.7e+06     1.0e+00      3.162e+00
   2      3      5    1.41391570e+05   6.5e+05     1.0e+00      3.135e+00
   3      4     12    6.36287039e+04   8.7e+04     1.0e+00      2.551e+00
   4      5     20    5.30825386e+03   2.4e+04     1.0e+00      1.168e+00
   5      6     25    2.47925980e+03   5.7e+03     1.0e+00      1.070e+00
   6      7     32    8.14810454e+02   3.7e+03     1.0e+00      8.269e-01
   7      8     39    2.58961746e+02   1.1e+03     1.0e+00      6.450e-01
   8      9     43    1.45445592e+02   4.0e+02     1.0e+00      6.134e-01
   9     10     51    7.94538643e+01   8.7e+02     1.0e+00      5.155e-01
  10     11     54    4.89171813e+01   2.6e+02     1.0e+00      5.092e-01
  11     12     64    2.65968691e+01   4.7e+02     1.0e+00      4.493e-01
  12     13     71    1.94231456e+01   2.6e+02     1.0e+00      4.351e-01
  13     14     81    1.22035309e+01   1.7e+02     1.0e+00      3.944e-01
  14     15     85    9.97056587e+00   1.6e+02     1.0e+00      3.921e-01
  15     16     89    9.38379611e+00   1.1e+02     1.0e+00      3.910e-01
  16     17     96    7.88004942e+00   1.3e+02     1.0e+00      3.805e-01
  17     18    103    6.82367930e+00   7.2e+01     1.0e+00      3.780e-01
  18     19    113    5.45176424e+00   2.2e+02     1.0e+00      3.684e-01
  19     20    117    4.71257450e+00   7.0e+01     1.0e+00      3.682e-01
  20     21    124    4.32822902e+00   5.3e+01     1.0e+00      3.676e-01
  21     22    134    3.53569319e+00   9.9e+01     1.0e+00      3.669e-01
  22     23    138    3.17677220e+00   6.8e+01     1.0e+00      3.669e-01
  23     24    148    2.88328715e+00   6.8e+01     1.0e+00      3.679e-01
  24     25    153    2.74469441e+00   1.9e+01     1.0e+00      3.679e-01
  25     26    163    2.38013324e+00   4.1e+01     1.0e+00      3.706e-01
  26     27    169    2.15910314e+00   3.2e+01     1.0e+00      3.707e-01
  27     28    179    1.98545421e+00   7.1e+01     1.0e+00      3.722e-01
  28     29    186    1.87314447e+00   4.2e+01     1.0e+00      3.725e-01
  29     30    196    1.71282720e+00   1.7e+02     1.0e+00      3.750e-01
  30     31    200    1.62077114e+00   1.6e+01     1.0e+00      3.750e-01
