
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 32
>> >> >> >> >> >> ===================== 15
Elapsed time is 1.094699 seconds.
Elapsed time is 1.096330 seconds.
ans =
     0
Elapsed time is 1.096574 seconds.
  it     nf     cg           f             |g|      alpha        error
   0      1      0    1.81489074e+03   4.4e+01     1.0e+00      2.254e+01
   1      2      3    3.26216781e+02   1.8e+01     1.0e+00      1.727e+01
   2      3      5    8.23379754e+01   5.1e+00     1.0e+00      1.750e+01
   3      5     13    5.84855838e+01   3.8e+00     2.2e-01      1.795e+01
   4      7     21    5.83254306e+01   3.8e+00     2.2e-03      1.796e+01
   5      9     29    5.77946857e+01   3.8e+00     7.4e-03      1.799e+01
   6     11     37    5.19973243e+01   3.4e+00     8.5e-02      1.834e+01
   7     13     45    5.19371463e+01   3.4e+00     1.0e-03      1.834e+01
   8     15     53    4.89781963e+01   3.2e+00     5.0e-02      1.857e+01
   9     17     61    4.76585394e+01   3.1e+00     2.5e-02      1.868e+01
  10     19     69    4.44913875e+01   2.9e+00     6.4e-02      1.900e+01
  11     21     77    4.44176945e+01   2.9e+00     1.6e-03      1.900e+01
  12     23     86    4.41019688e+01   2.8e+00     6.9e-03      1.904e+01
  13     25     95    4.25159567e+01   2.7e+00     3.6e-02      1.922e+01
  14     27    104    4.20523339e+01   2.7e+00     1.1e-02      1.928e+01
  15     29    114    4.14917771e+01   2.7e+00     1.3e-02      1.935e+01
  16     31    124    4.11104253e+01   2.7e+00     9.4e-03      1.940e+01
  17     33    134    4.09584307e+01   2.6e+00     3.8e-03      1.942e+01
  18     34    138    3.27512608e+01   8.1e-01     1.0e+00      2.112e+01
  19     35    142    3.21696508e+01   1.5e-01     1.0e+00      2.113e+01
  20     37    152    3.20148087e+01   1.3e-01     3.2e-02      2.115e+01
  21     39    162    3.13189159e+01   1.1e-01     1.5e-01      2.147e+01
  22     41    172    3.09538309e+01   1.0e-01     3.8e-02      2.172e+01
  23     43    182    3.09086833e+01   1.0e-01     4.3e-03      2.175e+01
  24     45    192    3.08329200e+01   1.0e-01     7.3e-03      2.182e+01
  25     47    202    3.07827000e+01   1.0e-01     4.8e-03      2.187e+01
  26     49    212    3.04205701e+01   1.0e-01     3.6e-02      2.228e+01
  27     51    222    3.03711886e+01   1.0e-01     4.7e-03      2.235e+01
  28     53    232    3.03352271e+01   1.0e-01     3.4e-03      2.240e+01
  29     55    242    3.01414310e+01   1.0e-01     1.9e-02      2.268e+01
  30     57    252    2.99119297e+01   1.0e-01     2.2e-02      2.305e+01
  31     59    262    2.97109704e+01   9.9e-02     1.9e-02      2.342e+01
  32     61    272    2.93039142e+01   9.7e-02     3.8e-02      2.428e+01
  33     63    282    2.90498909e+01   9.5e-02     2.3e-02      2.490e+01
  34     65    292    2.89131234e+01   9.4e-02     1.2e-02      2.525e+01
  35     67    302    2.87701103e+01   9.4e-02     1.2e-02      2.564e+01
  36     69    312    2.85108076e+01   9.3e-02     2.2e-02      2.639e+01
  37     71    322    2.84228664e+01   9.2e-02     7.2e-03      2.666e+01
  38     73    332    2.83810356e+01   9.2e-02     3.4e-03      2.679e+01
  39     75    342    2.83175438e+01   9.1e-02     5.2e-03      2.699e+01
  40     77    352    2.82277330e+01   9.1e-02     7.4e-03      2.728e+01
  41     79    362    2.81824539e+01   9.0e-02     3.7e-03      2.743e+01
  42     81    372    2.79754341e+01   8.9e-02     1.7e-02      2.813e+01
  43     83    382    2.79250696e+01   8.9e-02     4.2e-03      2.831e+01
  44     85    392    2.78710580e+01   8.8e-02     4.4e-03      2.850e+01
  45     87    402    2.78163323e+01   8.8e-02     4.5e-03      2.870e+01
  46     89    412    2.77305797e+01   8.7e-02     7.1e-03      2.901e+01
  47     91    422    2.77284893e+01   8.7e-02     1.7e-04      2.902e+01
  48     93    432    2.76905683e+01   8.7e-02     3.2e-03      2.916e+01
  49     95    442    2.76006484e+01   8.7e-02     7.3e-03      2.950e+01
  50     97    452    2.74970371e+01   8.6e-02     8.4e-03      2.990e+01
  51     99    462    2.74222545e+01   8.5e-02     6.2e-03      3.020e+01
  52    101    472    2.72762238e+01   8.3e-02     1.2e-02      3.079e+01
  53    103    482    2.71800858e+01   8.2e-02     7.7e-03      3.119e+01
  54    105    492    2.71033049e+01   8.1e-02     6.0e-03      3.151e+01
  55    107    502    2.70719163e+01   8.1e-02     2.4e-03      3.165e+01
  56    109    512    2.69655908e+01   8.0e-02     8.3e-03      3.211e+01
  57    111    522    2.69229640e+01   8.0e-02     3.4e-03      3.229e+01
  58    113    532    2.67781063e+01   7.8e-02     1.2e-02      3.294e+01
  59    115    542    2.67331792e+01   7.8e-02     3.5e-03      3.315e+01
  60    117    552    2.66768017e+01   7.8e-02     4.5e-03      3.341e+01
  61    119    562    2.66707538e+01   7.8e-02     4.8e-04      3.344e+01
  62    121    572    2.66359997e+01   7.7e-02     2.8e-03      3.360e+01
  63    123    582    2.66212423e+01   7.7e-02     1.5e-03      3.367e+01
  64    125    592    2.65366855e+01   7.6e-02     8.2e-03      3.407e+01
  65    127    602    2.65133478e+01   7.6e-02     2.0e-03      3.418e+01
  66    129    612    2.64667084e+01   7.6e-02     4.0e-03      3.440e+01
  67    131    622    2.62441492e+01   8.0e-02     1.8e-02      3.550e+01
  68    133    632    2.60677795e+01   7.7e-02     1.5e-02      3.641e+01
  69    135    642    2.60500728e+01   7.7e-02     1.4e-03      3.650e+01
  70    137    652    2.59107599e+01   7.6e-02     1.1e-02      3.724e+01
  71    139    662    2.58251696e+01   7.8e-02     7.0e-03      3.769e+01
  72    141    672    2.57490780e+01   7.9e-02     6.1e-03      3.811e+01
  73    143    682    2.56816839e+01   8.0e-02     5.5e-03      3.848e+01
  74    145    692    2.55983731e+01   8.1e-02     6.8e-03      3.894e+01
  75    147    702    2.55634733e+01   8.1e-02     2.9e-03      3.913e+01
  76    149    712    2.55253957e+01   8.1e-02     3.3e-03      3.935e+01
  77    151    722    2.54958809e+01   8.1e-02     2.5e-03      3.951e+01
  78    153    732    2.53937782e+01   8.2e-02     9.3e-03      4.010e+01
  79    155    742    2.53831008e+01   8.2e-02     1.2e-03      4.016e+01
  80    157    752    2.52961020e+01   8.0e-02     9.6e-03      4.068e+01
  81    159    762    2.51758134e+01   7.6e-02     1.4e-02      4.141e+01
  82    161    772    2.51156011e+01   7.4e-02     6.9e-03      4.178e+01
  83    163    782    2.50041923e+01   7.2e-02     1.3e-02      4.248e+01
  84    165    792    2.47594280e+01   7.4e-02     3.0e-02      4.408e+01
  85    167    802    2.46988680e+01   7.3e-02     7.6e-03      4.449e+01
  86    169    812    2.46800435e+01   7.3e-02     2.3e-03      4.461e+01
  87    171    822    2.46230518e+01   7.3e-02     6.9e-03      4.500e+01
  88    173    832    2.45365935e+01   7.3e-02     1.1e-02      4.559e+01
  89    175    842    2.45303571e+01   7.3e-02     7.9e-04      4.563e+01
  90    177    852    2.44797760e+01   7.3e-02     7.9e-03      4.598e+01
  91    179    862    2.44784682e+01   7.3e-02     1.8e-04      4.599e+01
  92    181    872    2.44630275e+01   7.3e-02     2.2e-03      4.610e+01
  93    183    882    2.44490585e+01   7.3e-02     2.0e-03      4.619e+01
  94    185    892    2.44392547e+01   7.3e-02     1.4e-03      4.626e+01
  95    187    902    2.43652706e+01   7.1e-02     1.1e-02      4.679e+01
  96    189    912    2.43340881e+01   7.1e-02     4.7e-03      4.702e+01
  97    191    922    2.42895262e+01   6.9e-02     6.9e-03      4.734e+01
  98    193    932    2.42166713e+01   6.8e-02     1.1e-02      4.788e+01
  99    195    942    2.41798104e+01   6.7e-02     6.4e-03      4.816e+01
 100    197    952    2.41790077e+01   6.7e-02     1.3e-04      4.816e+01
 101    199    962    2.40844043e+01   6.8e-02     1.6e-02      4.889e+01
 102    201    972    2.40277160e+01   7.1e-02     9.6e-03      4.933e+01
 103    203    982    2.40066045e+01   7.1e-02     3.6e-03      4.949e+01
 104    205    992    2.39222612e+01   7.6e-02     1.7e-02      5.017e+01
 105    207   1002    2.38679554e+01   7.8e-02     1.5e-02      5.062e+01
 106    209   1012    2.37905057e+01   7.5e-02     1.9e-02      5.128e+01
 107    211   1022    2.36119081e+01   6.8e-02     4.6e-02      5.289e+01
 108    213   1032    2.35061371e+01   6.5e-02     2.7e-02      5.387e+01
 109    215   1042    2.34654599e+01   6.4e-02     1.2e-02      5.426e+01
 110    217   1052    2.34260136e+01   6.2e-02     1.1e-02      5.465e+01
 111    219   1062    2.33745085e+01   5.9e-02     1.4e-02      5.516e+01
 112    221   1072    2.33433249e+01   5.7e-02     8.8e-03      5.547e+01
 113    223   1082    2.29818794e+01   5.6e-02     1.1e-01      5.937e+01
