
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 30
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 20: 0
====== Angle Number  2 of 20: 9.473684e+00
====== Angle Number  3 of 20: 1.894737e+01
====== Angle Number  4 of 20: 2.842105e+01
====== Angle Number  5 of 20: 3.789474e+01
====== Angle Number  6 of 20: 4.736842e+01
====== Angle Number  7 of 20: 5.684211e+01
====== Angle Number  8 of 20: 6.631579e+01
====== Angle Number  9 of 20: 7.578947e+01
====== Angle Number  10 of 20: 8.526316e+01
====== Angle Number  11 of 20: 9.473684e+01
====== Angle Number  12 of 20: 1.042105e+02
====== Angle Number  13 of 20: 1.136842e+02
====== Angle Number  14 of 20: 1.231579e+02
====== Angle Number  15 of 20: 1.326316e+02
====== Angle Number  16 of 20: 1.421053e+02
====== Angle Number  17 of 20: 1.515789e+02
====== Angle Number  18 of 20: 1.610526e+02
====== Angle Number  19 of 20: 1.705263e+02
====== Angle Number  20 of 20: 180
>> >> >> >> >> >> ===================== 20
ans =
        2640        2000
ans =
         528        2000
J1 =
        2000
J2 =
   400
J3 =
        2000
Elapsed time is 112.853325 seconds.
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    2.36002607e+01   4.9e+02     1.0e+00      2.570e-01
   1      2      6    4.17908533e-01    1.47292701e-01     2.70615832e-01    2.1e+01     1.0e+00      1.898e-01
   2      3     11    9.52605928e-02    4.27651153e-02     5.24954775e-02    4.4e+00     1.0e+00      1.865e-01
   3      4     18    2.25766006e-02    1.16448601e-02     1.09317406e-02    2.9e-01     1.0e+00      1.788e-01
   4      5     23    6.60989168e-03    4.56547296e-03     2.04441872e-03    2.0e-01     1.0e+00      1.730e-01
   5      6     32    2.07899041e-03    1.55727258e-03     5.21717830e-04    1.5e-01     1.0e+00      1.658e-01
   6      7     42    9.15722161e-04    7.14865091e-04     2.00857071e-04    4.7e-02     1.0e+00      1.613e-01
   7      8     52    5.41597473e-04    4.57396079e-04     8.42013944e-05    4.3e-02     1.0e+00      1.592e-01
   8      9     62    3.87209502e-04    3.27020663e-04     6.01888395e-05    1.8e-02     1.0e+00      1.574e-01
   9     10     72    3.01999721e-04    2.60207911e-04     4.17918100e-05    1.2e-02     1.0e+00      1.563e-01
  10     11     82    2.48984650e-04    2.14612510e-04     3.43721406e-05    1.2e-02     1.0e+00      1.551e-01
  11     12     92    2.12960390e-04    1.86304574e-04     2.66558169e-05    7.7e-03     1.0e+00      1.544e-01
  12     13    102    1.87373433e-04    1.63972526e-04     2.34009069e-05    7.9e-03     1.0e+00      1.535e-01
  13     14    112    1.68047800e-04    1.48813240e-04     1.92345598e-05    5.0e-03     1.0e+00      1.529e-01
  14     15    122    1.53220598e-04    1.35964262e-04     1.72563361e-05    8.0e-03     1.0e+00      1.521e-01
  15     16    132    1.41355880e-04    1.26477813e-04     1.48780673e-05    4.1e-03     1.0e+00      1.517e-01
  16     17    142    1.31556219e-04    1.17949291e-04     1.36069283e-05    6.9e-03     1.0e+00      1.510e-01
  17     18    152    1.23306735e-04    1.11368929e-04     1.19378060e-05    3.4e-03     1.0e+00      1.505e-01
  18     19    162    1.16074423e-04    1.04892048e-04     1.11823751e-05    7.1e-03     1.0e+00      1.499e-01
  19     20    172    1.09809274e-04    9.99127126e-05     9.89656163e-06    3.1e-03     1.0e+00      1.495e-01
  20     21    182    1.04339211e-04    9.49273462e-05     9.41186428e-06    6.5e-03     1.0e+00      1.490e-01
  21     22    192    9.94565190e-05    9.10589703e-05     8.39754869e-06    2.5e-03     1.0e+00      1.486e-01
  22     23    202    9.50621511e-05    8.70109120e-05     8.05123916e-06    5.5e-03     1.0e+00      1.481e-01
  23     24    212    9.10855337e-05    8.38445592e-05     7.24097450e-06    2.4e-03     1.0e+00      1.478e-01
  24     25    222    8.72841803e-05    7.99993931e-05     7.28478718e-06    7.3e-03     1.0e+00      1.472e-01
  25     26    232    8.38241576e-05    7.74758098e-05     6.34834781e-06    2.0e-03     1.0e+00      1.469e-01
  26     27    242    8.07045071e-05    7.43861792e-05     6.31832796e-06    6.5e-03     1.0e+00      1.464e-01
  27     28    252    7.78258015e-05    7.21975017e-05     5.62829984e-06    1.8e-03     1.0e+00      1.462e-01
  28     29    262    7.51763597e-05    6.95869386e-05     5.58942109e-06    4.5e-03     1.0e+00      1.457e-01
  29     30    272    7.27127700e-05    6.76124514e-05     5.10031859e-06    1.7e-03     1.0e+00      1.455e-01
  30     31    282    7.04213393e-05    6.53470808e-05     5.07425851e-06    5.0e-03     1.0e+00      1.450e-01
  31     32    292    6.82694945e-05    6.36248328e-05     4.64466163e-06    1.7e-03     1.0e+00      1.448e-01
  32     33    302    6.62472842e-05    6.16088802e-05     4.63840400e-06    4.3e-03     1.0e+00      1.444e-01
  33     34    312    6.43427130e-05    6.00623323e-05     4.28038068e-06    1.6e-03     1.0e+00      1.442e-01
  34     35    322    6.25460729e-05    5.82584577e-05     4.28761517e-06    4.2e-03     1.0e+00      1.438e-01
  35     36    332    6.08460728e-05    5.68749290e-05     3.97114385e-06    1.5e-03     1.0e+00      1.436e-01
  36     37    342    5.92367137e-05    5.52438593e-05     3.99285436e-06    4.0e-03     1.0e+00      1.432e-01
  37     38    348    5.81939629e-05    5.47108081e-05     3.48315485e-06    1.3e-03     1.0e+00      1.431e-01
  38     39    358    4.98784077e-05    4.29517785e-05     6.92662922e-06    3.6e-03     1.0e+00      1.402e-01
  39     40    364    4.37082823e-05    4.10794573e-05     2.62882496e-06    1.9e-03     1.0e+00      1.402e-01
  40     41    374    4.14368139e-05    3.74310352e-05     4.00577873e-06    2.0e-03     1.0e+00      1.391e-01
  41     42    380    3.96565479e-05    3.72873254e-05     2.36922247e-06    1.9e-03     1.0e+00      1.391e-01
  42     43    390    3.85466444e-05    3.57083234e-05     2.83832105e-06    2.2e-03     1.0e+00      1.386e-01
  43     44    397    3.77094316e-05    3.54571663e-05     2.25226527e-06    1.5e-03     1.0e+00      1.385e-01
  44     45    407    3.63296267e-05    3.33170271e-05     3.01259957e-06    2.8e-03     1.0e+00      1.378e-01
