
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 72
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 20: 0
====== Angle Number  2 of 20: 9.473684e+00
====== Angle Number  3 of 20: 1.894737e+01
====== Angle Number  4 of 20: 2.842105e+01
====== Angle Number  5 of 20: 3.789474e+01
====== Angle Number  6 of 20: 4.736842e+01
====== Angle Number  7 of 20: 5.684211e+01
====== Angle Number  8 of 20: 6.631579e+01
====== Angle Number  9 of 20: 7.578947e+01
====== Angle Number  10 of 20: 8.526316e+01
====== Angle Number  11 of 20: 9.473684e+01
====== Angle Number  12 of 20: 1.042105e+02
====== Angle Number  13 of 20: 1.136842e+02
====== Angle Number  14 of 20: 1.231579e+02
====== Angle Number  15 of 20: 1.326316e+02
====== Angle Number  16 of 20: 1.421053e+02
====== Angle Number  17 of 20: 1.515789e+02
====== Angle Number  18 of 20: 1.610526e+02
====== Angle Number  19 of 20: 1.705263e+02
====== Angle Number  20 of 20: 180
>> >> >> >> >> >> ===================== 50
ans =
        6400        7500
ans =
        1280        7500
J1 =
        3786
J2 =
        1208
J3 =
        4967
Elapsed time is 1778.637791 seconds.
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    4.40622599e+03   2.2e+04     1.0e+00      5.000e-01
   1      2      4    7.18983999e+02    2.87569354e+02     4.31414646e+02    7.2e+03     1.0e+00      4.357e-01
   2      3      8    1.25387461e+02    4.05457766e+01     8.48416844e+01    1.5e+03     1.0e+00      3.971e-01
   3      4     13    3.86985346e+01    8.56001763e+00     3.01385169e+01    4.6e+02     1.0e+00      3.717e-01
   4      5     17    1.22371723e+01    3.77244996e+00     8.46472238e+00    4.5e+02     1.0e+00      3.367e-01
   5      6     20    3.97986462e+00    2.59506171e+00     1.38480291e+00    2.2e+01     1.0e+00      3.020e-01
   6      7     24    5.71566812e-01    3.72418316e-01     1.99148496e-01    6.2e+00     1.0e+00      2.523e-01
   7      8     29    8.32182187e-02    5.93039820e-02     2.39142367e-02    1.1e+00     1.0e+00      2.337e-01
   8      9     36    2.87475184e-02    2.18342582e-02     6.91326016e-03    1.9e+00     1.0e+00      2.237e-01
   9     10     46    1.33544367e-02    9.77006774e-03     3.58436898e-03    6.0e-01     1.0e+00      2.099e-01
  10     11     56    9.84455249e-03    7.97721184e-03     1.86734065e-03    6.5e-01     1.0e+00      2.005e-01
  11     12     60    9.24546210e-03    7.38203716e-03     1.86342494e-03    3.9e-01     1.0e+00      1.998e-01
  12     13     70    7.11061947e-03    5.65736393e-03     1.45325554e-03    3.6e-01     1.0e+00      1.858e-01
  13     14     75    6.40151928e-03    5.12990699e-03     1.27161229e-03    2.8e-01     1.0e+00      1.849e-01
  14     15     79    6.17555000e-03    4.91875503e-03     1.25679497e-03    1.8e-01     1.0e+00      1.842e-01
  15     16     83    6.03388334e-03    4.82671885e-03     1.20716449e-03    1.4e-01     1.0e+00      1.835e-01
  16     17     93    4.67590791e-03    3.79184728e-03     8.84060627e-04    7.1e-01     1.0e+00      1.680e-01
  17     18     98    3.99118775e-03    3.23124035e-03     7.59947406e-04    1.4e-01     1.0e+00      1.667e-01
  18     19    103    3.80684040e-03    3.07597488e-03     7.30865512e-04    1.1e-01     1.0e+00      1.663e-01
  19     20    113    3.04806362e-03    2.45221794e-03     5.95845681e-04    1.9e-01     1.0e+00      1.548e-01
  20     21    120    2.52725984e-03    2.04783762e-03     4.79422217e-04    3.5e-02     1.0e+00      1.532e-01
  21     22    130    2.03731000e-03    1.64902034e-03     3.88289659e-04    5.4e-02     1.0e+00      1.441e-01
  22     23    132    1.93508548e-03    1.57124247e-03     3.63843007e-04    1.2e-01     1.0e+00      1.439e-01
  23     24    139    1.68309569e-03    1.36176752e-03     3.21328172e-04    9.2e-02     1.0e+00      1.430e-01
  24     25    146    1.59769813e-03    1.28201059e-03     3.15687540e-04    7.3e-02     1.0e+00      1.414e-01
  25     26    153    1.52481670e-03    1.23694909e-03     2.87867613e-04    1.2e-01     1.0e+00      1.408e-01
  26     27    163    9.80696199e-04    8.34299785e-04     1.46396413e-04    2.0e-01     1.0e+00      1.268e-01
  27     28    168    7.02028455e-04    5.62325767e-04     1.39702688e-04    6.3e-02     1.0e+00      1.267e-01
  28     29    175    6.57460366e-04    5.33030041e-04     1.24430325e-04    5.0e-02     1.0e+00      1.264e-01
  29     30    179    6.51292840e-04    5.23091718e-04     1.28201123e-04    3.7e-02     1.0e+00      1.263e-01
  30     31    189    4.58644109e-04    3.52744764e-04     1.05899346e-04    1.5e-01     1.0e+00      1.188e-01
  31     32    194    3.78423583e-04    2.98248605e-04     8.01749778e-05    6.2e-02     1.0e+00      1.186e-01
  32     33    201    3.49967743e-04    2.74546221e-04     7.54215216e-05    5.2e-02     1.0e+00      1.184e-01
  33     34    205    3.43994457e-04    2.70219528e-04     7.37749288e-05    1.9e-02     1.0e+00      1.184e-01
  34     35    215    3.12212029e-04    2.42247635e-04     6.99643936e-05    8.7e-02     1.0e+00      1.171e-01
  35     36    220    3.02843896e-04    2.41889891e-04     6.09540049e-05    1.8e-02     1.0e+00      1.170e-01
  36     37    230    2.79825066e-04    2.18615540e-04     6.12095264e-05    1.5e-02     1.0e+00      1.160e-01
  37     38    236    2.67655235e-04    2.08576808e-04     5.90784271e-05    8.8e-03     1.0e+00      1.158e-01
  38     39    243    2.63071449e-04    2.07730976e-04     5.53404728e-05    1.6e-02     1.0e+00      1.156e-01
  39     40    253    2.29445457e-04    1.79730196e-04     4.97152609e-05    7.7e-02     1.0e+00      1.131e-01
  40     41    257    2.08329870e-04    1.61752003e-04     4.65778672e-05    6.9e-03     1.0e+00      1.131e-01
  41     42    267    1.99062715e-04    1.55274491e-04     4.37882240e-05    6.7e-03     1.0e+00      1.126e-01
  42     43    273    1.95074636e-04    1.52256250e-04     4.28183859e-05    8.7e-03     1.0e+00      1.125e-01
  43     44    283    1.84994396e-04    1.43658402e-04     4.13359937e-05    1.1e-02     1.0e+00      1.116e-01
  44     45    285    1.81178795e-04    1.40345248e-04     4.08335464e-05    3.9e-02     1.0e+00      1.116e-01
  45     46    290    1.77602133e-04    1.37684941e-04     3.99171928e-05    4.5e-03     1.0e+00      1.115e-01
  46     47    300    1.67937210e-04    1.30075436e-04     3.78617747e-05    6.5e-03     1.0e+00      1.106e-01
  47     48    302    1.66551632e-04    1.28980000e-04     3.75716316e-05    1.7e-02     1.0e+00      1.106e-01
  48     49    307    1.61235247e-04    1.25732590e-04     3.55026569e-05    7.2e-03     1.0e+00      1.104e-01
  49     50    311    1.60037019e-04    1.24069893e-04     3.59671266e-05    1.7e-02     1.0e+00      1.104e-01
  50     51    321    1.36942802e-04    1.04539893e-04     3.24029094e-05    1.4e-01     1.0e+00      1.074e-01
  51     52    326    1.26137234e-04    9.67625677e-05     2.93746663e-05    6.3e-02     1.0e+00      1.074e-01
  52     53    335    1.19365753e-04    9.20463062e-05     2.73194467e-05    5.4e-03     1.0e+00      1.072e-01
  53     54    345    1.15656211e-04    8.90811598e-05     2.65750512e-05    2.1e-02     1.0e+00      1.067e-01
  54     55    348    1.14558093e-04    8.79849109e-05     2.65731817e-05    1.6e-02     1.0e+00      1.067e-01
  55     56    356    1.12365431e-04    8.64495501e-05     2.59158808e-05    3.4e-03     1.0e+00      1.065e-01
  56     57    364    1.10731474e-04    8.52500567e-05     2.54814177e-05    1.9e-02     1.0e+00      1.063e-01
  57     58    372    1.09234195e-04    8.39352547e-05     2.52989404e-05    4.2e-03     1.0e+00      1.062e-01
  58     59    382    1.05329741e-04    8.03890872e-05     2.49406535e-05    1.3e-02     1.0e+00      1.055e-01
  59     60    386    1.03133564e-04    7.93651226e-05     2.37684409e-05    2.1e-02     1.0e+00      1.054e-01
  60     61    390    1.02525110e-04    7.88969401e-05     2.36281703e-05    1.0e-02     1.0e+00      1.054e-01
  61     62    400    1.00564862e-04    7.72943533e-05     2.32705085e-05    2.1e-02     1.0e+00      1.051e-01
  62     63    407    9.90890327e-05    7.63778230e-05     2.27112097e-05    1.9e-02     1.0e+00      1.050e-01
  63     64    417    9.54878713e-05    7.23812115e-05     2.31066598e-05    1.5e-02     1.0e+00      1.042e-01
  64     65    422    9.28161180e-05    7.14241270e-05     2.13919909e-05    3.1e-02     1.0e+00      1.042e-01
  65     66    426    9.24102860e-05    7.11886499e-05     2.12216361e-05    5.8e-03     1.0e+00      1.042e-01
  66     67    433    9.10861721e-05    7.00405124e-05     2.10456597e-05    1.2e-02     1.0e+00      1.039e-01
  67     68    440    8.98541438e-05    6.91877084e-05     2.06664354e-05    7.5e-03     1.0e+00      1.038e-01
  68     69    450    8.71692844e-05    6.67078188e-05     2.04614656e-05    6.2e-02     1.0e+00      1.032e-01
  69     70    454    8.54198410e-05    6.58751904e-05     1.95446506e-05    1.9e-02     1.0e+00      1.032e-01
  70     71    461    8.46489894e-05    6.52528496e-05     1.93961398e-05    7.7e-03     1.0e+00      1.031e-01
  71     72    471    7.97261568e-05    6.01117251e-05     1.96144317e-05    4.1e-02     1.0e+00      1.017e-01
  72     73    475    7.60691082e-05    5.86501089e-05     1.74189992e-05    1.7e-02     1.0e+00      1.017e-01
  73     74    482    7.53416957e-05    5.82632109e-05     1.70784848e-05    6.6e-03     1.0e+00      1.017e-01
  74     75    486    7.52135819e-05    5.81994978e-05     1.70140841e-05    3.3e-03     1.0e+00      1.017e-01
  75     76    496    6.37504426e-05    4.64954037e-05     1.72550388e-05    2.5e-02     1.0e+00      9.810e-02
  76     77    501    5.75119582e-05    4.45136078e-05     1.29983504e-05    2.5e-02     1.0e+00      9.808e-02
  77     78    505    5.61403477e-05    4.34778002e-05     1.26625475e-05    1.6e-02     1.0e+00      9.807e-02
  78     79    513    5.51076502e-05    4.28408086e-05     1.22668416e-05    1.6e-03     1.0e+00      9.801e-02
  79     80    518    5.48585066e-05    4.27588760e-05     1.20996305e-05    6.4e-03     1.0e+00      9.796e-02
  80     81    528    5.42580466e-05    4.21314737e-05     1.21265729e-05    1.9e-02     1.0e+00      9.776e-02
  81     82    533    5.39034483e-05    4.20000325e-05     1.19034158e-05    5.8e-03     1.0e+00      9.774e-02
  82     83    537    5.38130390e-05    4.19205857e-05     1.18924534e-05    1.6e-03     1.0e+00      9.774e-02
  83     84    547    5.19094121e-05    4.02485700e-05     1.16608421e-05    5.5e-02     1.0e+00      9.692e-02
  84     85    550    5.06851636e-05    3.93692616e-05     1.13159020e-05    2.1e-03     1.0e+00      9.692e-02
  85     86    555    5.02542255e-05    3.92499699e-05     1.10042556e-05    3.8e-03     1.0e+00      9.689e-02
  86     87    559    5.01496954e-05    3.91299076e-05     1.10197878e-05    2.0e-03     1.0e+00      9.689e-02
  87     88    567    4.94799674e-05    3.84174555e-05     1.10625119e-05    1.0e-02     1.0e+00      9.661e-02
  88     89    574    4.89013617e-05    3.82053917e-05     1.06959699e-05    6.5e-03     1.0e+00      9.657e-02
  89     90    584    4.75863445e-05    3.66406461e-05     1.09456984e-05    6.6e-03     1.0e+00      9.601e-02
  90     91    589    4.67890565e-05    3.64329984e-05     1.03560581e-05    1.6e-02     1.0e+00      9.598e-02
  91     92    593    4.66231768e-05    3.63483202e-05     1.02748565e-05    7.2e-03     1.0e+00      9.597e-02
  92     93    602    4.60098492e-05    3.59863774e-05     1.00234718e-05    1.4e-03     1.0e+00      9.581e-02
