
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> ===================== 10
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    2.28797393e+03   5.1e+02     1.0e+00      8.020e+00
   1      2      2    8.23638594e+01    1.41005132e+01     6.82633462e+01    4.6e+01     1.0e+00      7.267e+00
   2      3      5    6.41440146e+00    3.71835591e+00     2.69604554e+00    5.5e+00     1.0e+00      7.187e+00
   3      4      9    2.96905132e+00    2.80210070e+00     1.66950619e-01    2.4e+00     1.0e+00      7.156e+00
   4      5     19    1.15873515e+00    1.05248438e+00     1.06250777e-01    3.0e+00     1.0e+00      6.966e+00
   5      6     29    5.83306087e-01    5.59696305e-01     2.36097823e-02    7.1e-01     1.0e+00      6.887e+00
   6      7     39    4.27863228e-01    4.06651103e-01     2.12121248e-02    2.1e+00     1.0e+00      6.809e+00
   7      8     43    3.57165848e-01    3.50225708e-01     6.94014019e-03    3.7e-01     1.0e+00      6.804e+00
   8      9     53    2.88137613e-01    2.79074713e-01     9.06290056e-03    3.1e-01     1.0e+00      6.737e+00
   9     10     57    2.72294673e-01    2.70146162e-01     2.14851052e-03    2.6e-01     1.0e+00      6.732e+00
  10     11     67    2.45064400e-01    2.40000289e-01     5.06411116e-03    3.3e-01     1.0e+00      6.658e+00
  11     12     71    2.35494705e-01    2.33784495e-01     1.71021035e-03    1.3e-01     1.0e+00      6.652e+00
  12     13     81    2.20448753e-01    2.16517703e-01     3.93105029e-03    2.1e-01     1.0e+00      6.589e+00
  13     14     85    2.13885589e-01    2.12337230e-01     1.54835874e-03    1.5e-01     1.0e+00      6.584e+00
