
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 6: 0
====== Angle Number  2 of 6: 36
====== Angle Number  3 of 6: 72
====== Angle Number  4 of 6: 108
====== Angle Number  5 of 6: 144
====== Angle Number  6 of 6: 180
>> >> >> >> >> >> ===================== 10
====== With Self Absorption, Transmission Detector Resolution is 16
ans =
   410   300
ans =
    82   300
J1 =
   240
J2 =
    70
J3 =
   300
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    4.93145952e+04   1.6e+05     1.0e+00      3.204e+00
   1      2      3    2.60750033e+03    2.34158355e+03     2.65916774e+02    1.3e+04     1.0e+00      3.165e+00
   2      3      6    5.78828826e+02    3.80910910e+02     1.97917916e+02    1.9e+03     1.0e+00      3.152e+00
   3      4      8    3.75835158e+02    1.87659330e+02     1.88175828e+02    5.6e+02     1.0e+00      3.137e+00
   4      5     13    1.14722732e+02    5.61471053e+01     5.85756263e+01    2.6e+02     1.0e+00      2.845e+00
   5      6     20    2.10289269e+01    6.89119230e+00     1.41377346e+01    5.5e+01     1.0e+00      2.572e+00
   6      7     27    6.99611679e+00    4.05459855e+00     2.94151824e+00    1.2e+01     1.0e+00      2.410e+00
   7      8     37    4.33399697e+00    1.94488456e+00     2.38911241e+00    1.4e+01     1.0e+00      2.037e+00
   8      9     40    3.30331071e+00    1.73279738e+00     1.57051333e+00    3.3e+00     1.0e+00      2.026e+00
   9     10     50    1.66922143e+00    5.64004991e-01     1.10521643e+00    6.2e+00     1.0e+00      1.325e+00
  10     11     54    9.12842763e-01    4.70255220e-01     4.42587542e-01    2.1e+00     1.0e+00      1.302e+00
  11     12     60    6.60154774e-01    3.98699397e-01     2.61455377e-01    3.2e+00     1.0e+00      1.236e+00
  12     13     70    2.84373993e-01    1.56376434e-01     1.27997558e-01    1.8e+00     1.0e+00      8.279e-01
  13     14     74    1.70913500e-01    1.06735108e-01     6.41783922e-02    7.7e-01     1.0e+00      8.193e-01
  14     15     80    1.22181006e-01    7.87752253e-02     4.34057812e-02    5.9e-01     1.0e+00      7.997e-01
  15     16     84    1.12761021e-01    7.38404166e-02     3.89206044e-02    4.6e-01     1.0e+00      7.941e-01
  16     17     93    7.81106648e-02    4.10373933e-02     3.70732715e-02    1.9e+00     1.0e+00      6.980e-01
  17     18     97    5.66861322e-02    3.40251439e-02     2.26609883e-02    2.7e-01     1.0e+00      6.954e-01
  18     19    106    4.21803942e-02    2.89846849e-02     1.31957093e-02    7.2e-01     1.0e+00      6.736e-01
  19     20    112    3.75000970e-02    2.63314652e-02     1.11686318e-02    5.2e-01     1.0e+00      6.648e-01
  20     21    115    3.63623901e-02    2.47292892e-02     1.16331010e-02    1.9e-01     1.0e+00      6.637e-01
  21     22    125    2.32751305e-02    1.73597919e-02     5.91533862e-03    2.9e-01     1.0e+00      6.026e-01
  22     23    127    2.06137638e-02    1.57293428e-02     4.88442104e-03    4.7e-01     1.0e+00      6.022e-01
  23     24    133    1.76624792e-02    1.30194907e-02     4.64298843e-03    7.2e-02     1.0e+00      6.001e-01
  24     25    143    1.52821772e-02    1.08662406e-02     4.41593658e-03    1.2e-01     1.0e+00      5.733e-01
  25     26    150    1.39187746e-02    1.04821462e-02     3.43662837e-03    1.5e-01     1.0e+00      5.699e-01
  26     27    160    1.27070958e-02    9.46364464e-03     3.24345121e-03    1.1e-01     1.0e+00      5.513e-01
  27     28    165    1.20579732e-02    9.06396320e-03     2.99401003e-03    1.4e-01     1.0e+00      5.496e-01
  28     29    175    1.10474479e-02    8.13627974e-03     2.91116814e-03    9.4e-02     1.0e+00      5.319e-01
  29     30    180    1.04668505e-02    7.89403684e-03     2.57281362e-03    1.2e-01     1.0e+00      5.291e-01
  30     31    190    9.78170989e-03    7.34858218e-03     2.43312771e-03    7.4e-02     1.0e+00      5.158e-01
  31     32    195    9.38040822e-03    7.07640047e-03     2.30400775e-03    4.9e-02     1.0e+00      5.143e-01
  32     33    205    8.52990059e-03    6.20987804e-03     2.32002255e-03    6.6e-02     1.0e+00      4.936e-01
  33     34    210    8.08830053e-03    6.09515609e-03     1.99314444e-03    1.3e-01     1.0e+00      4.923e-01
  34     35    217    7.80673831e-03    5.89373599e-03     1.91300231e-03    9.5e-02     1.0e+00      4.892e-01
  35     36    220    7.74605584e-03    5.86788290e-03     1.87817295e-03    8.2e-02     1.0e+00      4.889e-01
  36     37    230    5.57724580e-03    3.79772675e-03     1.77951905e-03    2.2e-01     1.0e+00      4.234e-01
  37     38    234    4.62406645e-03    3.38964484e-03     1.23442162e-03    1.7e-01     1.0e+00      4.229e-01
  38     39    240    4.38306853e-03    3.32396492e-03     1.05910361e-03    1.1e-01     1.0e+00      4.220e-01
  39     40    244    4.33244957e-03    3.31048783e-03     1.02196174e-03    2.8e-02     1.0e+00      4.217e-01
  40     41    253    4.15803514e-03    3.27241833e-03     8.85616810e-04    4.3e-02     1.0e+00      4.164e-01
  41     42    262    4.02036038e-03    3.08843473e-03     9.31925645e-04    3.9e-02     1.0e+00      4.138e-01
  42     43    272    3.85230223e-03    3.00016918e-03     8.52133047e-04    4.0e-02     1.0e+00      4.077e-01
  43     44    274    3.81566833e-03    2.99391221e-03     8.21756118e-04    1.0e-01     1.0e+00      4.076e-01
  44     45    282    3.70542579e-03    2.85657529e-03     8.48850502e-04    5.6e-02     1.0e+00      4.056e-01
  45     46    288    3.64282231e-03    2.84007147e-03     8.02750844e-04    5.1e-02     1.0e+00      4.036e-01
  46     47    294    3.59679634e-03    2.79205427e-03     8.04742073e-04    7.2e-02     1.0e+00      4.027e-01
  47     48    304    3.24258214e-03    2.45296456e-03     7.89617574e-04    1.5e-01     1.0e+00      3.847e-01
  48     49    307    3.00374614e-03    2.34076304e-03     6.62983095e-04    2.2e-02     1.0e+00      3.845e-01
  49     50    311    2.96684674e-03    2.31355497e-03     6.53291780e-04    5.4e-02     1.0e+00      3.843e-01
  50     51    321    2.84648469e-03    2.24525259e-03     6.01232103e-04    7.1e-02     1.0e+00      3.785e-01
  51     52    323    2.80535065e-03    2.22118141e-03     5.84169243e-04    5.7e-02     1.0e+00      3.785e-01
  52     53    329    2.74773122e-03    2.15777902e-03     5.89952201e-04    3.3e-02     1.0e+00      3.776e-01
  53     54    339    2.66025256e-03    2.08684435e-03     5.73408210e-04    3.2e-02     1.0e+00      3.731e-01
  54     55    344    2.60132620e-03    2.05590031e-03     5.45425892e-04    1.7e-02     1.0e+00      3.728e-01
  55     56    354    2.50079134e-03    1.96313754e-03     5.37653798e-04    3.4e-02     1.0e+00      3.675e-01
  56     57    356    2.47333058e-03    1.93874915e-03     5.34581432e-04    4.6e-02     1.0e+00      3.674e-01
  57     58    362    2.41588093e-03    1.91327951e-03     5.02601420e-04    3.3e-02     1.0e+00      3.668e-01
  58     59    372    2.26875385e-03    1.74785455e-03     5.20899298e-04    3.1e-02     1.0e+00      3.578e-01
  59     60    375    2.18712772e-03    1.71709515e-03     4.70032566e-04    2.4e-02     1.0e+00      3.576e-01
  60     61    382    2.13571147e-03    1.69974696e-03     4.35964513e-04    1.0e-02     1.0e+00      3.571e-01
  61     62    392    2.04098901e-03    1.60232185e-03     4.38667164e-04    4.3e-02     1.0e+00      3.511e-01
  62     63    397    1.97023948e-03    1.57426949e-03     3.95969992e-04    2.0e-02     1.0e+00      3.508e-01
  63     64    401    1.95880651e-03    1.57112611e-03     3.87680402e-04    2.8e-02     1.0e+00      3.507e-01
  64     65    411    1.87110294e-03    1.48351290e-03     3.87590044e-04    4.0e-02     1.0e+00      3.450e-01
  65     66    417    1.79787116e-03    1.43989868e-03     3.57972482e-04    4.0e-02     1.0e+00      3.446e-01
  66     67    427    1.74826920e-03    1.42021958e-03     3.28049625e-04    1.9e-02     1.0e+00      3.417e-01
  67     68    432    1.71457705e-03    1.38502967e-03     3.29547382e-04    2.7e-02     1.0e+00      3.413e-01
