
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> ===================== 20
====== With Self Absorption, Transmission Detector Resolution is 30
ans =
        1600        2000
ans =
         320        2000
J1 =
        1566
J2 =
   290
J3 =
        1728
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    4.34119229e+04   1.5e+04     1.0e+00      3.024e+01
   1      3      8    4.21877651e+04    3.79234036e+03     3.83954247e+04    1.4e+04     1.2e-02      3.010e+01
   2      4     16    3.17474706e+04    2.58291441e+04     5.91832648e+03    3.2e+04     1.0e+00      2.516e+01
   3      5     18    7.83503748e+03    3.17736305e+03     4.65767443e+03    6.1e+02     1.0e+00      2.497e+01
   4      6     23    1.25911479e+03    7.03756322e+02     5.55358465e+02    3.6e+02     1.0e+00      2.298e+01
   5      7     29    3.21459809e+02    2.21010567e+02     1.00449242e+02    1.2e+02     1.0e+00      2.195e+01
   6      8     32    2.54276980e+02    1.46124212e+02     1.08152768e+02    6.4e+01     1.0e+00      2.183e+01
   7      9     42    1.20396030e+02    6.95634236e+01     5.08326060e+01    5.0e+01     1.0e+00      1.940e+01
   8     10     45    5.57218813e+01    3.75433639e+01     1.81785175e+01    2.1e+01     1.0e+00      1.934e+01
   9     11     55    2.37006510e+01    1.84515859e+01     5.24906516e+00    1.3e+01     1.0e+00      1.840e+01
  10     12     65    1.36833361e+01    1.04088320e+01     3.27450409e+00    3.5e+01     1.0e+00      1.798e+01
  11     13     69    1.20917504e+01    9.60215096e+00     2.48959944e+00    8.2e+00     1.0e+00      1.794e+01
  12     14     79    7.84384598e+00    5.59872105e+00     2.24512493e+00    3.5e+00     1.0e+00      1.742e+01
  13     15     81    6.98045085e+00    5.10305171e+00     1.87739913e+00    1.3e+01     1.0e+00      1.741e+01
  14     16     89    5.47271469e+00    4.24801296e+00     1.22470173e+00    2.0e+00     1.0e+00      1.730e+01
  15     17     99    3.60672370e+00    2.38697310e+00     1.21975061e+00    1.3e+01     1.0e+00      1.680e+01
  16     18    106    2.85532872e+00    2.14597379e+00     7.09354932e-01    2.1e+00     1.0e+00      1.676e+01
  17     19    116    2.11962959e+00    1.42148447e+00     6.98145125e-01    4.2e+00     1.0e+00      1.635e+01
  18     20    119    2.00045955e+00    1.43140795e+00     5.69051596e-01    5.3e+00     1.0e+00      1.634e+01
  19     21    125    1.74929228e+00    1.36780506e+00     3.81487213e-01    8.7e-01     1.0e+00      1.632e+01
  20     22    128    1.70989245e+00    1.35738733e+00     3.52505124e-01    3.5e+00     1.0e+00      1.631e+01
  21     23    138    1.50293035e+00    1.14484234e+00     3.58088004e-01    9.7e-01     1.0e+00      1.615e+01
  22     24    148    1.35257980e+00    1.08420497e+00     2.68374831e-01    2.6e+00     1.0e+00      1.609e+01
  23     25    157    1.27376185e+00    1.02100696e+00     2.52754881e-01    3.9e+00     1.0e+00      1.602e+01
  24     26    166    1.20952483e+00    9.81319752e-01     2.28205082e-01    3.4e+00     1.0e+00      1.598e+01
  25     27    176    1.14976025e+00    9.32916463e-01     2.16843789e-01    3.7e+00     1.0e+00      1.591e+01
