
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> ===================== 20
====== With Self Absorption, Transmission Detector Resolution is 30
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    1.63264748e+01   3.0e+02     1.0e+00      2.570e-01
   1      2      3    6.05052040e+00    9.95818919e-01     5.05470149e+00    7.4e+01     1.0e+00      2.431e-01
   2      3      7    9.37376553e-01    8.07304700e-02     8.56646083e-01    1.8e+01     1.0e+00      1.973e-01
   3      4     12    8.07710433e-02    8.42350875e-03     7.23475346e-02    3.4e+00     1.0e+00      1.781e-01
   4      5     19    1.24125639e-02    3.74537854e-03     8.66718535e-03    1.7e-01     1.0e+00      1.640e-01
   5      6     23    9.44539641e-03    3.44600441e-03     5.99939201e-03    3.3e-01     1.0e+00      1.629e-01
   6      7     27    7.86429224e-03    3.05578951e-03     4.80850272e-03    1.6e+00     1.0e+00      1.615e-01
   7      8     30    7.18133325e-03    2.81017849e-03     4.37115476e-03    6.1e-01     1.0e+00      1.612e-01
   8      9     38    1.94003149e-03    9.57943610e-04     9.82087875e-04    7.4e-02     1.0e+00      1.552e-01
   9     10     41    1.50370251e-03    8.61939196e-04     6.41763315e-04    7.5e-01     1.0e+00      1.547e-01
  10     11     44    1.34906040e-03    7.73784439e-04     5.75275964e-04    1.0e-01     1.0e+00      1.546e-01
  11     12     48    1.28851256e-03    7.67769014e-04     5.20743544e-04    1.1e-01     1.0e+00      1.545e-01
  12     13     52    1.23465242e-03    7.30006618e-04     5.04645798e-04    8.9e-02     1.0e+00      1.544e-01
  13     14     56    1.18706273e-03    7.23282329e-04     4.63780403e-04    9.4e-02     1.0e+00      1.543e-01
  14     15     64    3.45117360e-04    2.00970787e-04     1.44146573e-04    2.0e-02     1.0e+00      1.514e-01
  15     16     68    2.97569855e-04    1.92382409e-04     1.05187447e-04    3.1e-02     1.0e+00      1.513e-01
  16     17     72    2.78913954e-04    1.81087750e-04     9.78262031e-05    1.5e-02     1.0e+00      1.512e-01
  17     18     79    2.20969747e-04    1.57768881e-04     6.32008659e-05    1.5e-01     1.0e+00      1.507e-01
  18     19     82    2.04629877e-04    1.49273509e-04     5.53563684e-05    3.3e-02     1.0e+00      1.507e-01
  19     20     85    1.99287076e-04    1.49353510e-04     4.99335656e-05    6.3e-02     1.0e+00      1.507e-01
  20     21     88    1.96590870e-04    1.47332538e-04     4.92583321e-05    2.3e-02     1.0e+00      1.507e-01
  21     22     91    1.94614799e-04    1.46579832e-04     4.80349671e-05    8.2e-02     1.0e+00      1.507e-01
