     beta           f_Joing          f_XRF           f_XTM              Error         Time
  |theta|=1, |W|=5X5X3;
  1.0000e-06      2.4979e-12       9.1817e-17      2.4978e-06        8.3651e-01     12.613297
  1.0000e-05      2.4978e-11       9.1674e-17      2.4978e-06        8.3651e-01     23.825106
  1.0000e-04      2.4978e-10       9.0409e-17      2.4978e-06        8.3651e-01     35.177857
  1.0000e-03      2.4978e-09       9.4918e-17      2.4978e-06        8.3651e-01     46.705913
  1.0000e-02      2.4978e-08       1.8546e-15      2.4978e-06        8.3651e-01     57.915682
  1.0000e-01      2.4978e-07       2.1007e-13      2.4978e-06        8.3651e-01     71.868756
  1.0000e+00      6.7583e-07       4.6133e-12      6.7582e-07        8.0270e-01     11065.821414
  |theta|=4, |W|=5X5X3;
  1.0000e+00      1.7257e-04       1.7257e-04      6.4318e-13        2.3924e-06     26242.105216
  1.0000e+00      7.8275e+02       7.8227e+02      4.8270e-01        3.3586e+00     4.655244
  1.0000e+00      7.8275e+02       7.8227e+02      4.8270e-01        3.3586e+00     21.359255
  1.0000e+00      1.5436e-17       1.5436e-17      2.5813e-22        8.6545e-10     8.441499
  1.0000e-01      1.1221e+00       1.1189e+00      3.1893e-02        4.0244e-01     7.685143
  1.0000e+00      1.1490e+00       1.1209e+00      2.8046e-02        4.0241e-01     8.126001
  1.0000e+00      2.5652e-01       2.5646e-01      6.1171e-05        4.0264e-01     5.969646
  1.0000e+00      4.8749e-03       4.1021e-28      4.8749e-03        4.2574e-01     1.430298
  1.0000e-02      4.8710e-05       3.9019e-08      4.8671e-03        4.2574e-01     1.925666
  1.0000e-02      4.8710e-05       3.9019e-08      4.8671e-03        4.2574e-01     1.878788
  1.0000e+00      4.4874e-03       3.3304e-04      4.1544e-03        4.3580e-01     4.215846
  1.0000e+00      4.5028e-03       3.3385e-04      4.1690e-03        4.2692e-01     1.650900
  1.0000e+00      4.5028e-03       3.3385e-04      4.1690e-03        4.2692e-01     1.355601
  1.0000e+00      4.5028e-03       3.3385e-04      4.1690e-03        4.2692e-01     1.107804
  1.0000e+00      4.8749e-03       1.5058e-22      4.8749e-03        4.2574e-01     0.011606
  1.0000e+00      6.9788e-16       3.1682e-16      3.8106e-16        4.9527e-07     9.832919
  1.0000e+00      6.9788e-16       3.1682e-16      3.8106e-16        4.9527e-07     9.751073
  1.0000e+00      1.0727e-17       1.0727e-17      6.1691e-22        3.4009e-10     27.334822
  1.0000e+00      3.1150e-19       2.9669e-19      1.4809e-20        1.0086e-10     7.941114
  1.0000e+00      8.3132e-24       6.7901e-24      1.5231e-24        1.3747e-12     10.608706
  1.0000e+00      5.2599e-07       5.2107e-07      4.9243e-09        4.8328e-02     31.513887
  1.0000e+00      6.9788e-16       3.1682e-16      3.8106e-16        4.9527e-07     11.134337
  1.0000e+00      5.3954e-05       3.3594e-05      2.0359e-05        2.4667e-01     17.848259
  1.0000e+00      4.6125e-22       4.4058e-22      2.0677e-23        2.9954e-12     10.677141
  1.0000e+00      1.4720e-15       1.3699e-15      1.0213e-16        2.5935e-08     9.728551
  1.0000e+00      7.4981e-17       6.9341e-17      5.6398e-18        2.7234e-09     14.136322
  1.0000e+00      1.1212e-13       1.0231e-13      9.8098e-15        5.6534e-07     288.831582
  1.0000e+00      7.2563e-05       7.1145e-05      1.4177e-06        5.1749e-01     102.906420
  1.0000e+00      1.2158e-07       1.2158e-07      9.3769e-13        3.1203e+00     428.130931
  1.0000e+00      7.2926e-06       7.2925e-06      9.5457e-11        4.6386e+00     13022.577921
  1.0000e+00      1.2682e+01       6.4743e+00      6.2072e+00        2.7966e+01     28.262479
  1.0000e+00      1.3578e+01       1.2685e+01      8.9269e-01        2.6077e+01     4710.857502
  1.0000e+00      3.8584e+00       3.5668e+00      2.9155e-01        1.3267e+01     1434.258705
  1.0000e+00      1.9330e-03       1.5892e-03      3.4386e-04        3.0212e-01     272.948413
  1.0000e+00      3.8584e+00       3.5668e+00      2.9155e-01        1.3267e+01     260.605201
  1.0000e+00      1.0802e+00       1.0642e+00      1.6054e-02        1.3545e+01     354.669806
  1.0000e+00      3.8584e+00       3.5668e+00      2.9155e-01        1.3267e+01     292.649431
  1.0000e+00      1.3167e-01       1.2180e-01      9.8649e-03        9.4401e+00     3674.863071
  1.0000e+00      1.9390e-03       1.9334e-03      5.6596e-06        2.5354e+00     82.451528
  1.0000e+00      3.9041e-06       3.8860e-06      1.8159e-08        3.0335e-02     71.873199
  1.0000e+00      1.4720e-15       1.3699e-15      1.0213e-16        2.5935e-08     7.874225
  1.0000e+00      6.2916e-01       5.7747e-01      5.1692e-02        5.1505e-02     21.287984
  1.0000e+00      2.6429e-01       1.3631e-01      1.2798e-01        2.9442e-01     14.610532
  1.0000e+00      1.6679e-01       7.5891e-02      9.0896e-02        4.7225e-01     8.262718
  1.0000e+00      3.4814e-01       3.0323e-01      4.4914e-02        3.5521e-02     4.027048
  1.0000e+00      1.1595e-04       6.7251e-05      4.8700e-05        2.8656e-02     14.685926
  1.0000e+00      1.3540e+01       1.2425e+01      1.1153e+00        3.8215e+00     5.610613
  1.0000e+00      1.9854e+01       1.3730e+01      6.1240e+00        4.2517e+01     6.614841
  1.0000e+00      1.9854e+01       1.3730e+01      6.1240e+00        4.2517e+01     6.477337
  1.0000e+00      1.9854e+01       1.3730e+01      6.1240e+00        4.2517e+01     6.777981
  1.0000e+00      1.4637e-04       1.2202e-04      2.4354e-05        2.1719e-01     20.220895
  1.0000e+00      3.2407e-04       2.8045e-04      4.3625e-05        7.7893e-01     20.605367
  1.0000e+00      1.0405e+01       9.6592e+00      7.4557e-01        3.2983e+01     6.654855
  1.0000e+00      1.0405e+01       9.6592e+00      7.4557e-01        3.2983e+01     6.744247
  1.0000e+00      3.2407e-04       2.8045e-04      4.3625e-05        7.7893e-01     20.360141
  1.0000e+00      4.7327e+00       4.5006e+00      2.3206e-01        1.8084e+01     3.166010
  1.0000e+00      1.6274e-04       1.3697e-04      2.5766e-05        5.4058e-01     5.749016
  1.0000e+00      1.6274e-04       1.3697e-04      2.5766e-05        5.4058e-01     5.915869
  1.0000e+00      1.6274e-04       1.3697e-04      2.5766e-05        5.4058e-01     5.659561
  1.0000e+00      9.2454e-09       9.2398e-09      5.6602e-12        3.2685e-01     61.927085
  1.0000e+00      9.9730e-05       9.0546e-05      9.1841e-06        1.6590e+00     262.606050
  1.0000e+00      7.6693e-01       7.4276e-01      2.4171e-02        3.7025e-01     123.586428
  1.0000e+00      8.8419e+00       8.6362e+00      2.0574e-01        3.5983e-01     76.683920
  1.0000e+00      7.6693e-01       7.4276e-01      2.4173e-02        3.7026e-01     69.717732
  1.0000e+00      5.0024e-07       4.6422e-07      3.6020e-08        9.7865e-04     64.383365
  1.0000e+00      6.5413e-05       5.7384e-05      8.0287e-06        3.3025e-01     24.510034
  1.0000e+00      3.7447e-04       3.5670e-04      1.7768e-05        2.8930e-01     36.657572
  1.0000e+00      1.5379e-04       1.5194e-04      1.8532e-06        7.0853e-01     34.817543
  1.0000e+00      7.9228e-04       7.1243e-04      7.9846e-05        5.0796e-01     63.505608
  1.0000e+00      1.9393e+00       1.8667e+00      7.2609e-02        1.1423e-01     11.980845
  1.0000e+00      1.9108e+00       1.7915e+00      1.1933e-01        1.1506e-01     9.735599
  1.0000e+00      2.2088e-15       2.1537e-15      5.5103e-17        3.0376e-08     8.726417
  1.0000e+00      8.4102e-16       7.1332e-16      1.2769e-16        8.7829e-09     14.244697
  1.0000e+00      3.6231e-14       3.2851e-14      3.3796e-15        5.1139e-07     6.852089
  1.0000e+00      4.8362e-21       4.5364e-21      2.9980e-22        2.9281e-11     13.617945
  1.0000e+00      4.8737e-02       2.2035e-03      4.6534e-02        4.3872e-01     11.181487
  1.0000e+00      4.8362e-21       4.5364e-21      2.9980e-22        2.9281e-11     13.276287
  1.0000e+00      4.8362e-21       4.5364e-21      2.9980e-22        2.9281e-11     13.843738
  1.0000e+00      1.8405e+01       1.7982e+01      4.2285e-01        1.0879e+00     11.898393
  1.0000e+00      9.3277e+00       8.7966e+00      5.3108e-01        2.9235e-01     5.329306
  1.0000e+00      2.1636e+01       1.8211e+01      3.4246e+00        5.6100e-01     7.831356
  1.0000e+00      3.6522e+00       8.6936e-01      2.7828e+00        5.2797e-01     19.436460
  1.0000e+00      3.6522e+00       8.6936e-01      2.7828e+00        5.2797e-01     20.153546
  1.0000e+00      8.1069e-15       7.9827e-16      7.3086e-15        7.2951e-08     16.161266
  1.0000e+00      5.3640e-14       5.1129e-14      2.5106e-15        2.7730e-07     8.692229
  1.0000e+00      9.7876e-08       5.9665e-08      3.8211e-08        3.8350e-03     638.527877
  1.0000e+00      9.4707e-02       8.6114e-03      8.6096e-02        9.8817e-02     4.215557
  1.0000e+00      9.4707e-02       8.6114e-03      8.6096e-02        9.8817e-02     3.353153
  1.0000e+00      6.1643e+01       3.4322e+01      2.7321e+01        1.1441e+01     3.456314
  1.0000e+00      3.8856e+01       2.9222e+00      3.5934e+01        1.0683e+01     9.689839
  1.0000e+00      5.5170e+02       4.2701e+02      1.2469e+02        1.9906e+00     123.381420
  1.0000e+00      2.3335e-20       2.2782e-20      5.5270e-22        3.2990e-11     9.826668
  1.0000e+00      4.5612e+02       4.2651e+02      2.9608e+01        7.5951e-01     68.838711
  1.0000e+00      2.3335e-20       2.2782e-20      5.5270e-22        3.2990e-11     10.352176
  1.0000e+00      1.9406e-19       1.6731e-19      2.6753e-20        2.7062e-10     11.579940
  1.0000e+00      5.4820e+01       3.5943e+01      1.8877e+01        7.5950e-01     13.439382
  1.0000e+00      1.2044e+00       7.9286e-01      4.1153e-01        4.7130e-01     21.174193
  1.0000e+00      1.2581e+00       8.0231e-01      4.5583e-01        8.9778e-01     67.952284
  1.0000e+00      1.2575e+00       8.0189e-01      4.5564e-01        8.9773e-01     140.273600
  1.0000e+00      1.2588e+00       8.0277e-01      4.5602e-01        8.9783e-01     211.428880
  1.0000e+00      1.2581e+00       8.0231e-01      4.5583e-01        8.9778e-01     65.189846
  1.0000e+00      6.1433e+00       4.0526e+00      2.0907e+00        1.2933e+00     39.005839
  1.0000e+00      2.2160e+01       1.2328e+01      9.8321e+00        3.0434e+00     268.038493
  1.0000e+00      9.0975e+00       6.3932e+00      2.7043e+00        3.0012e+00     222.500991
  1.0000e+00      9.6257e+00       5.8631e+00      3.7626e+00        1.4401e+00     145.882771
  1.0000e+00      1.1794e+01       7.6687e+00      4.1250e+00        1.3609e+00     67.123181
  1.0000e+00      2.4604e+00       1.3621e+00      1.0983e+00        1.0653e+00     135.515524
  1.0000e+00      2.5469e+00       2.0745e+00      4.7242e-01        1.0289e+00     208.196206
